LoginID,CustomerID,DeviceID,LoginTime,IPAddress,Browser,OperatingSystem,LocationID,LoginStatus,FailureReason,IsNewDevice,IsNewLocation,IsSuspicious,RiskScore,FailedAttempts24H
LN0000019,C004673,D000422,2025-09-18 14:41:12,IP-486.135.97.238,Firefox,Linux,L0001,Failed,Invalid Password,True,False,False,55,3
LN0000020,C001790,D003288,2026-05-22 22:44:26,IP-903.47.193.243,Chrome,Linux,L0045,Success,,False,False,False,32,3
LN0000021,C003275,D002978,2025-08-15 23:39:37,IP-194.98.70.148,Chrome,Linux,L0018,Success,,False,True,False,44,3
LN0000022,C002048,D002913,2025-07-20 09:10:13,IP-612.228.176.224,Firefox,macOS,L0007,Failed,Invalid Password,False,False,False,19,0
LN0000023,C003251,D003126,2026-03-20 04:02:50,IP-020.75.76.233,Firefox,Linux,L0007,Success,,True,False,False,43,1
LN0000024,C002898,D002551,2025-11-29 21:13:09,IP-180.251.84.97,Firefox,Linux,L0033,Failed,Invalid Password,True,False,True,97,9
LN0000025,C000591,D002202,2025-10-10 11:41:53,IP-865.179.176.2,Safari,Android,L0044,Success,,False,False,False,60,2
LN0000026,C004317,D001861,2025-10-04 14:33:55,IP-862.17.168.100,Chrome,Android,L0003,Success,,False,False,False,74,3
LN0000027,C003051,D003110,2025-10-02 07:57:07,IP-770.237.226.141,Chrome,Linux,L0038,Failed,Account Locked,False,False,False,16,1
LN0000028,C002752,D001823,2025-04-22 01:52:41,IP-474.34.193.11,Safari,macOS,L0008,Success,,True,False,False,37,1
LN0000029,C002937,D000529,2025-11-22 19:17:40,IP-875.249.134.233,Safari,Linux,L0001,Success,,True,False,False,17,3
LN0000030,C001625,D000042,2025-06-23 21:59:46,IP-813.90.129.99,Edge,Android,L0020,Success,,False,False,False,12,1
LN0000031,C001292,D003674,2025-08-30 07:22:05,IP-987.213.135.26,Chrome,iOS,L0005,Success,,False,False,False,22,0
LN0000032,C000711,D000922,2025-01-07 20:50:59,IP-071.30.241.46,Chrome,iOS,L0011,Success,,False,False,False,38,2
LN0000033,C001360,D000574,2026-07-22 12:48:38,IP-167.86.24.122,Firefox,macOS,L0043,Success,,False,False,False,31,3
LN0000034,C001707,D002035,2025-09-28 21:10:34,IP-524.31.91.19,Safari,Linux,L0020,Success,,False,False,False,23,2
LN0000035,C001988,D001545,2025-04-17 12:26:51,IP-075.247.106.97,Chrome,iOS,L0019,Success,,False,False,False,1,1
LN0000036,C002052,D003201,2025-03-03 18:49:58,IP-765.66.222.62,Edge,macOS,L0033,Success,,False,True,False,28,1
LN0000037,C002188,D003580,2025-08-04 00:22:11,IP-991.151.84.182,Edge,Android,L0005,Success,,False,True,False,55,2
LN0000038,C000029,D002396,2026-07-20 18:19:13,IP-190.49.191.171,Edge,macOS,L0031,Success,,False,False,False,31,0
LN0000039,C004307,D000864,2025-06-26 20:12:55,IP-325.230.136.46,Edge,Linux,L0007,Success,,False,False,False,38,3
LN0000040,C001912,D002874,2026-06-29 05:49:59,IP-986.220.15.36,Safari,Android,L0041,Success,,False,False,False,15,1
LN0000041,C004332,D000438,2026-01-10 21:13:54,IP-358.93.179.147,Safari,Linux,L0004,Failed,Invalid Password,False,False,False,53,1
LN0000042,C004162,D002336,2025-10-14 18:22:17,IP-960.184.63.21,Chrome,iOS,L0013,Failed,MFA Failed,False,False,False,17,2
LN0000043,C003954,D003391,2025-04-24 11:48:21,IP-460.190.190.45,Chrome,Android,L0041,Failed,Unknown Device,False,False,True,74,8
LN0000044,C003805,D000378,2026-03-20 04:15:28,IP-423.201.5.111,Safari,Windows,L0038,Success,,True,True,False,17,2
LN0000045,C003055,D002726,2025-06-13 01:25:00,IP-514.77.143.51,Safari,macOS,L0008,Failed,Account Locked,False,False,True,93,6
LN0000046,C004490,D002627,2026-07-20 12:15:36,IP-114.232.70.35,Chrome,Android,L0040,Success,,False,False,False,36,2
LN0000047,C004992,D003701,2025-09-13 02:23:25,IP-925.102.52.157,Edge,Windows,L0031,Failed,Invalid Password,False,False,True,54,9
LN0000048,C001862,D000104,2025-02-27 11:49:44,IP-357.88.61.141,Firefox,Android,L0033,Success,,False,True,False,9,0
LN0000049,C002149,D003461,2025-10-23 02:35:16,IP-053.74.20.211,Firefox,Linux,L0001,Success,,False,False,False,42,2
LN0000050,C002461,D003675,2026-05-01 21:04:43,IP-783.245.225.201,Chrome,Windows,L0026,Success,,False,False,False,44,2
LN0000051,C002677,D000048,2025-02-17 18:55:38,IP-562.99.117.21,Chrome,Linux,L0034,Failed,MFA Failed,False,True,True,88,10
LN0000052,C002593,D000900,2026-03-15 23:43:49,IP-873.228.187.156,Firefox,macOS,L0048,Failed,MFA Failed,False,False,False,24,2
LN0000053,C004966,D001236,2025-04-21 00:00:17,IP-876.173.224.200,Firefox,Windows,L0010,Success,,False,False,True,68,4
LN0000054,C003468,D003803,2026-01-15 14:11:27,IP-979.34.227.4,Edge,Windows,L0038,Success,,False,False,False,38,1
LN0000055,C000955,D002240,2026-02-02 13:19:18,IP-044.254.11.74,Edge,iOS,L0045,Success,,False,False,False,44,1
LN0000056,C003809,D003359,2025-11-24 23:37:40,IP-316.12.156.52,Safari,Windows,L0022,Success,,True,False,False,5,2
LN0000057,C000856,D002354,2025-07-25 00:56:02,IP-476.58.176.109,Firefox,iOS,L0008,Success,,False,False,False,36,2
LN0000058,C004386,D003688,2025-01-07 13:54:44,IP-279.246.253.126,Safari,iOS,L0038,Success,,False,True,False,43,0
LN0000059,C000993,D001322,2025-11-09 14:19:58,IP-956.28.2.44,Firefox,iOS,L0037,Success,,False,False,True,66,3
LN0000060,C003125,D002566,2025-11-29 00:15:31,IP-317.27.32.50,Firefox,Windows,L0011,Success,,True,False,False,45,3
LN0000061,C003434,D000489,2025-12-07 10:52:29,IP-592.168.31.55,Edge,macOS,L0039,Failed,MFA Failed,False,False,True,80,6
LN0000062,C001499,D003619,2025-09-12 11:49:14,IP-339.63.197.195,Safari,Android,L0051,Failed,Unknown Device,False,False,True,83,6
LN0000063,C000024,D000551,2026-04-19 03:01:47,IP-436.50.173.95,Firefox,Android,L0041,Failed,Account Locked,False,False,False,43,2
LN0000064,C001979,D003533,2025-08-15 17:29:07,IP-445.3.199.94,Safari,Windows,L0029,Success,,False,False,False,24,3
LN0000065,C002064,D002702,2026-03-04 05:03:53,IP-364.65.102.166,Firefox,Linux,L0015,Success,,False,False,False,26,3
LN0000066,C003814,D002402,2025-01-01 15:59:15,IP-861.205.252.126,Safari,Windows,L0023,Failed,MFA Failed,False,False,True,43,6
LN0000067,C004064,D002749,2025-08-02 05:15:12,IP-562.22.34.175,Edge,Linux,L0020,Success,,False,False,False,36,3
LN0000068,C001349,D000779,2026-03-27 07:45:35,IP-645.209.181.221,Edge,Android,L0028,Success,,True,True,False,59,3
LN0000069,C003128,D003483,2026-03-24 01:43:54,IP-120.163.156.170,Chrome,Android,L0009,Success,,False,False,False,61,0
LN0000070,C002530,D001535,2025-01-30 14:55:09,IP-771.127.39.73,Chrome,Android,L0017,Failed,MFA Failed,False,False,False,55,3
LN0000071,C001451,D000570,2025-05-19 00:18:11,IP-099.187.17.197,Chrome,iOS,L0043,Success,,False,False,False,11,0
LN0000072,C000290,D002006,2025-06-17 19:39:54,IP-304.176.189.229,Edge,Windows,L0028,Success,,False,False,False,38,1
LN0000073,C004009,D003373,2026-04-14 21:23:58,IP-870.23.95.153,Edge,Android,L0019,Success,,False,False,False,72,0
LN0000074,C003301,D000112,2026-04-03 05:41:30,IP-101.198.39.240,Edge,Linux,L0041,Success,,False,False,False,42,3
LN0000075,C003679,D002138,2025-07-04 13:45:39,IP-581.52.45.6,Chrome,Android,L0018,Failed,Authentication Failed,False,False,True,66,8
LN0000076,C001527,D001222,2026-01-07 09:19:57,IP-476.210.28.250,Chrome,macOS,L0023,Success,,False,False,True,77,4
LN0000077,C000571,D003726,2026-01-22 05:34:46,IP-366.39.87.134,Chrome,Linux,L0003,Success,,False,False,False,25,0
LN0000078,C003345,D000445,2025-10-29 22:05:12,IP-705.251.90.194,Firefox,Linux,L0006,Success,,False,True,False,47,3
LN0000079,C000817,D003654,2025-03-08 17:42:32,IP-465.22.222.243,Chrome,Windows,L0026,Failed,Authentication Failed,False,False,True,17,10
LN0000080,C000918,D000526,2026-07-31 23:28:11,IP-526.141.132.127,Edge,macOS,L0025,Failed,MFA Failed,True,False,True,84,9
LN0000081,C001752,D001990,2026-03-13 23:42:05,IP-763.122.206.73,Safari,macOS,L0052,Success,,False,False,False,42,1
LN0000082,C000635,D003638,2025-08-23 05:31:01,IP-023.182.59.187,Edge,macOS,L0004,Success,,False,False,False,33,0
LN0000083,C002769,D000991,2025-06-19 18:36:21,IP-941.8.215.211,Edge,Android,L0009,Failed,Authentication Failed,False,False,True,100,11
LN0000084,C000840,D000999,2026-04-17 15:24:46,IP-385.17.64.248,Edge,Android,L0016,Success,,False,False,False,100,1
LN0000085,C001745,D003417,2026-01-01 00:49:58,IP-574.114.56.92,Firefox,macOS,L0008,Failed,Invalid Password,False,False,True,45,6
LN0000086,C002198,D000053,2025-09-15 18:35:07,IP-447.73.240.202,Edge,Android,L0031,Failed,Unknown Device,True,False,False,23,1
LN0000087,C003539,D002353,2026-07-04 17:03:16,IP-214.197.133.170,Chrome,macOS,L0042,Success,,False,False,False,25,0
LN0000088,C001402,D000815,2025-07-04 09:39:47,IP-048.65.248.194,Safari,macOS,L0046,Failed,Unknown Device,False,False,False,69,3
LN0000089,C002251,D001005,2025-11-07 02:36:28,IP-349.13.215.187,Safari,Windows,L0044,Success,,False,False,False,45,1
LN0000090,C003610,D000952,2025-10-11 07:22:10,IP-982.94.197.138,Chrome,Android,L0028,Success,,False,False,False,25,2
LN0000091,C002422,D001244,2025-07-04 05:46:19,IP-200.26.67.229,Firefox,Android,L0004,Success,,True,False,False,48,3
LN0000092,C004951,D003526,2026-03-30 00:01:37,IP-369.205.250.10,Chrome,iOS,L0004,Success,,False,False,False,48,3
LN0000093,C003127,D003551,2025-06-19 17:42:39,IP-492.172.58.146,Chrome,Android,L0037,Success,,False,False,False,32,0
LN0000094,C001176,D002424,2025-03-19 19:17:46,IP-203.232.177.213,Chrome,iOS,L0021,Success,,False,False,False,27,1
LN0000095,C001037,D000739,2025-10-12 12:15:36,IP-742.179.229.140,Safari,macOS,L0012,Failed,Account Locked,False,False,False,41,0
LN0000096,C002778,D000331,2026-01-14 15:32:27,IP-739.231.104.139,Chrome,Android,L0024,Success,,True,False,False,62,0
LN0000097,C000174,D000627,2025-10-17 15:03:08,IP-906.11.29.158,Firefox,Android,L0024,Success,,False,True,False,45,0
LN0000098,C004431,D003481,2025-10-19 02:17:52,IP-975.112.4.85,Edge,Android,L0018,Success,,False,False,False,16,0
LN0000099,C000078,D000328,2025-11-17 04:26:38,IP-397.1.70.165,Edge,Windows,L0019,Failed,MFA Failed,False,False,False,39,3
LN0000100,C003745,D000879,2025-10-28 18:07:20,IP-983.46.176.17,Chrome,Android,L0035,Success,,False,False,False,53,2
LN0000101,C002219,D002421,2025-07-29 00:58:08,IP-709.92.150.109,Firefox,iOS,L0048,Success,,True,False,False,42,2
LN0000102,C002027,D002674,2026-07-10 03:24:51,IP-591.32.234.193,Chrome,Windows,L0041,Success,,False,False,False,53,2
LN0000103,C000164,D003536,2025-02-01 14:12:51,IP-985.239.153.1,Chrome,macOS,L0020,Success,,False,False,False,15,2
LN0000104,C000662,D003835,2025-06-07 00:39:22,IP-930.58.218.93,Safari,macOS,L0038,Success,,False,False,False,27,1
LN0000105,C000463,D000084,2025-02-23 22:32:39,IP-897.126.2.137,Firefox,Android,L0011,Success,,False,False,False,9,0
LN0000106,C001652,D000768,2025-12-04 23:03:36,IP-144.34.129.87,Edge,iOS,L0034,Success,,False,False,False,26,1
LN0000107,C004873,D000777,2026-06-21 09:43:37,IP-484.38.124.19,Chrome,Linux,L0020,Success,,False,False,False,1,2
LN0000108,C003287,D003954,2026-06-28 00:21:45,IP-953.48.23.90,Firefox,iOS,L0015,Success,,False,False,False,52,2
LN0000109,C000172,D002905,2025-08-08 18:14:00,IP-656.52.180.24,Chrome,macOS,L0016,Success,,True,False,False,44,2
LN0000110,C001901,D003047,2025-04-17 02:29:15,IP-086.34.60.109,Edge,macOS,L0010,Success,,True,True,False,30,1
LN0000111,C002003,D002440,2025-04-14 16:08:15,IP-413.91.56.218,Safari,Windows,L0007,Success,,True,True,False,41,2
LN0000112,C001977,D002650,2026-03-22 21:14:25,IP-263.149.25.222,Chrome,Windows,L0047,Success,,False,False,False,58,0
LN0000113,C003333,D000567,2025-02-12 17:57:15,IP-067.9.67.95,Chrome,Linux,L0012,Success,,False,False,False,29,0
LN0000114,C000186,D000605,2026-01-12 22:09:46,IP-769.42.249.6,Safari,Linux,L0038,Success,,False,False,False,73,2
LN0000115,C002199,D001482,2025-02-19 10:38:18,IP-995.167.107.238,Firefox,iOS,L0026,Failed,Unknown Device,False,True,True,56,10
LN0000116,C002149,D003252,2026-03-20 11:59:28,IP-293.161.245.144,Safari,Linux,L0018,Success,,False,False,False,40,3
LN0000117,C003886,D000631,2025-02-01 02:28:21,IP-245.80.92.48,Safari,Android,L0025,Success,,False,False,False,49,2
LN0000118,C000397,D001465,2025-04-20 05:03:35,IP-541.10.218.131,Chrome,Windows,L0040,Success,,False,False,False,87,3
LN0000119,C000532,D002130,2025-02-05 00:20:02,IP-678.239.142.105,Firefox,macOS,L0025,Success,,False,False,False,22,0
LN0000120,C004376,D001033,2025-04-12 05:28:59,IP-811.145.175.30,Safari,Android,L0017,Success,,False,False,False,81,2
LN0000121,C004507,D002865,2025-03-22 21:16:16,IP-024.94.64.32,Safari,Windows,L0047,Failed,Account Locked,False,False,True,91,10
LN0000122,C002953,D001061,2025-07-31 08:33:42,IP-583.48.164.145,Chrome,Linux,L0010,Success,,False,False,False,12,2
LN0000123,C002334,D001328,2025-02-26 18:35:43,IP-289.41.211.223,Safari,iOS,L0023,Success,,True,False,False,2,2
LN0000124,C003984,D003878,2025-09-16 02:06:30,IP-233.146.187.155,Edge,Android,L0013,Success,,False,True,False,32,1
LN0000125,C002319,D001278,2026-03-25 12:37:11,IP-282.69.254.152,Chrome,Linux,L0015,Success,,False,False,True,83,3
LN0000126,C002110,D002718,2025-03-15 11:23:28,IP-947.144.9.208,Edge,Android,L0050,Success,,False,False,False,26,0
LN0000127,C003349,D001933,2025-02-21 01:21:39,IP-844.29.117.92,Safari,Windows,L0019,Success,,True,False,False,4,2
LN0000128,C002520,D003097,2026-03-31 04:46:30,IP-954.224.30.244,Firefox,Windows,L0019,Success,,False,False,False,49,1
LN0000129,C001383,D003758,2026-06-21 23:37:02,IP-550.242.91.100,Firefox,iOS,L0008,Failed,MFA Failed,False,False,True,100,8
LN0000130,C001359,D002938,2026-03-31 22:55:17,IP-010.42.177.167,Edge,Android,L0025,Success,,False,False,False,39,2
LN0000131,C001926,D003734,2025-08-25 22:52:26,IP-846.79.122.254,Safari,iOS,L0036,Success,,False,False,False,38,2
LN0000132,C003344,D001978,2026-03-11 05:38:50,IP-832.217.39.13,Chrome,Linux,L0035,Failed,Unknown Device,False,False,True,97,10
LN0000133,C004171,D000591,2025-04-24 10:14:11,IP-153.146.163.83,Safari,Linux,L0042,Success,,False,False,False,53,2
LN0000134,C004884,D003400,2025-10-29 22:42:50,IP-528.136.138.55,Chrome,Android,L0015,Failed,Unknown Device,False,False,True,64,6
LN0000135,C004431,D000785,2025-06-30 01:31:21,IP-431.42.173.138,Safari,macOS,L0042,Success,,False,False,False,59,2
LN0000136,C004014,D002307,2025-02-12 14:18:30,IP-627.45.226.9,Safari,Android,L0013,Success,,True,True,False,34,0
LN0000137,C000506,D003354,2025-04-05 11:38:38,IP-928.91.209.230,Firefox,Linux,L0036,Success,,True,False,False,33,1
LN0000138,C002724,D003505,2025-05-26 06:39:28,IP-247.194.69.97,Firefox,Windows,L0021,Failed,Authentication Failed,False,False,False,20,0
LN0000139,C001162,D000865,2026-05-30 07:36:29,IP-842.247.243.189,Chrome,iOS,L0030,Success,,False,True,True,55,4
LN0000140,C004050,D003942,2026-03-09 22:21:14,IP-945.122.149.102,Edge,macOS,L0031,Success,,True,False,False,7,3
LN0000141,C003377,D002740,2025-12-12 07:33:09,IP-200.245.176.83,Chrome,iOS,L0008,Success,,False,False,False,42,3
LN0000142,C001270,D001483,2025-10-14 18:57:36,IP-159.177.163.106,Edge,macOS,L0011,Success,,False,False,False,28,1
LN0000143,C003248,D000462,2026-01-16 21:05:31,IP-389.129.41.27,Safari,Android,L0048,Success,,False,False,False,22,3
LN0000144,C000373,D002881,2025-05-28 03:40:30,IP-958.214.145.14,Firefox,macOS,L0002,Success,,False,False,False,47,1
LN0000145,C002242,D003581,2026-05-18 05:51:41,IP-547.192.7.175,Safari,iOS,L0029,Success,,True,False,False,13,2
LN0000146,C004213,D000299,2026-01-25 03:41:02,IP-848.186.224.207,Firefox,Windows,L0044,Success,,True,False,False,29,3
LN0000147,C003435,D000161,2026-05-01 18:13:52,IP-877.40.150.127,Safari,iOS,L0032,Success,,False,False,False,25,1
LN0000148,C000461,D001408,2025-08-09 16:47:13,IP-373.31.65.197,Edge,Android,L0023,Failed,MFA Failed,False,False,True,81,8
LN0000149,C002158,D003624,2025-08-22 15:20:54,IP-446.137.220.64,Chrome,macOS,L0027,Success,,False,False,False,46,2
LN0000150,C002378,D000607,2026-03-23 17:29:52,IP-473.104.41.142,Edge,Linux,L0001,Success,,True,False,False,33,2
LN0000151,C003796,D003207,2026-03-13 15:57:32,IP-404.213.9.131,Chrome,macOS,L0026,Success,,False,False,False,29,1
LN0000152,C003833,D003134,2026-02-06 17:55:38,IP-368.140.241.22,Chrome,Android,L0034,Success,,False,True,False,1,3
LN0000153,C001299,D001325,2025-09-20 18:20:17,IP-018.253.12.4,Safari,macOS,L0012,Success,,False,False,False,16,1
LN0000154,C000141,D003098,2025-01-31 14:58:30,IP-222.246.1.238,Firefox,iOS,L0047,Failed,Account Locked,False,False,True,100,8
LN0000155,C004324,D000454,2026-03-02 02:00:48,IP-794.234.53.82,Edge,Android,L0008,Success,,False,False,False,34,0
LN0000156,C003694,D003358,2025-08-17 11:34:00,IP-022.220.219.26,Edge,Android,L0023,Success,,False,False,False,26,0
LN0000157,C001696,D003446,2025-04-11 19:12:53,IP-506.156.45.109,Edge,iOS,L0044,Success,,False,False,False,34,3
LN0000158,C000247,D002466,2025-04-22 14:07:11,IP-559.105.136.37,Firefox,Linux,L0041,Success,,False,True,False,25,2
LN0000159,C003365,D002750,2025-01-29 00:14:36,IP-341.93.217.207,Firefox,Linux,L0010,Failed,Authentication Failed,True,False,True,90,11
LN0000160,C000716,D000465,2025-12-15 09:06:01,IP-611.248.200.16,Chrome,Android,L0042,Failed,MFA Failed,False,False,False,59,0
LN0000161,C004452,D002236,2026-06-17 05:56:20,IP-838.243.208.194,Safari,Android,L0024,Success,,False,False,False,68,0
LN0000162,C002752,D002778,2025-10-21 22:39:46,IP-405.138.26.78,Safari,Linux,L0013,Success,,True,False,False,32,1
LN0000163,C003318,D000774,2025-10-22 20:50:56,IP-895.97.181.29,Firefox,Linux,L0045,Success,,True,False,False,18,3
LN0000164,C004978,D002301,2026-06-24 04:33:22,IP-859.179.116.191,Firefox,Linux,L0028,Success,,False,False,False,38,0
LN0000165,C001930,D000906,2025-02-09 06:14:59,IP-990.176.145.37,Edge,Windows,L0046,Success,,False,False,False,32,1
LN0000166,C002045,D002334,2026-02-14 15:30:37,IP-379.113.147.163,Firefox,Linux,L0047,Success,,False,True,False,9,3
LN0000167,C002415,D001143,2025-11-06 03:22:33,IP-124.144.46.210,Firefox,Linux,L0006,Success,,False,False,False,52,1
LN0000168,C000020,D001539,2026-03-28 21:14:47,IP-482.53.164.125,Safari,Windows,L0021,Success,,False,False,False,50,1
LN0000169,C004415,D000572,2026-04-18 10:28:58,IP-401.183.241.177,Safari,iOS,L0021,Success,,False,False,False,50,2
LN0000170,C001644,D002197,2025-09-27 01:59:47,IP-773.196.82.135,Edge,macOS,L0001,Failed,Unknown Device,True,False,True,77,8
LN0000171,C000266,D001425,2025-10-22 02:12:21,IP-683.68.70.90,Firefox,macOS,L0033,Success,,False,False,False,27,0
LN0000172,C000324,D003463,2025-07-15 11:41:47,IP-905.16.248.144,Edge,Windows,L0013,Success,,True,True,False,67,1
LN0000173,C001002,D003746,2025-07-21 22:03:32,IP-177.87.65.113,Firefox,Linux,L0040,Success,,False,False,False,40,3
LN0000174,C002725,D003456,2025-03-14 02:23:38,IP-104.78.87.246,Edge,Android,L0021,Success,,True,False,False,22,1
LN0000175,C002293,D002090,2025-04-03 17:38:30,IP-136.110.3.43,Firefox,Windows,L0030,Success,,False,False,False,55,3
LN0000176,C003045,D002742,2025-11-04 17:51:31,IP-762.5.166.168,Edge,iOS,L0039,Success,,False,False,False,30,2
LN0000177,C000228,D000337,2026-04-19 06:33:37,IP-039.192.192.222,Edge,iOS,L0050,Failed,Account Locked,False,True,False,12,2
LN0000178,C000040,D003927,2025-03-03 01:09:29,IP-741.144.228.25,Firefox,Android,L0010,Success,,True,False,False,15,0
LN0000179,C000185,D001052,2025-11-30 02:45:41,IP-329.181.10.238,Chrome,iOS,L0014,Failed,Unknown Device,False,False,True,100,11
LN0000180,C001047,D001681,2026-06-08 05:57:56,IP-062.224.83.20,Chrome,Android,L0025,Success,,False,False,False,1,2
LN0000181,C002335,D001486,2025-08-28 00:09:09,IP-496.164.162.125,Chrome,iOS,L0012,Success,,False,False,False,44,1
LN0000182,C000281,D000191,2026-07-05 09:04:35,IP-473.119.99.9,Safari,Windows,L0016,Success,,False,False,False,36,2
LN0000183,C001388,D001096,2026-03-28 11:25:38,IP-906.104.79.29,Safari,iOS,L0019,Failed,Invalid Password,True,False,True,74,7
LN0000184,C002560,D000094,2025-01-10 03:07:18,IP-714.196.63.110,Firefox,Linux,L0014,Success,,False,False,False,32,2
LN0000185,C002314,D000184,2025-05-06 00:37:47,IP-131.231.201.36,Firefox,iOS,L0046,Success,,True,False,False,17,0
LN0000186,C002070,D000878,2026-01-14 02:13:13,IP-968.251.3.179,Chrome,iOS,L0014,Success,,False,True,False,59,3
LN0000187,C003906,D000248,2025-01-28 02:21:41,IP-764.158.234.152,Safari,Windows,L0017,Success,,False,False,False,1,1
LN0000188,C003474,D001209,2026-07-18 19:47:46,IP-855.195.61.153,Chrome,iOS,L0035,Success,,False,False,False,29,3
LN0000189,C003390,D002682,2025-05-14 03:09:37,IP-504.159.3.92,Safari,Android,L0044,Success,,False,False,False,10,1
LN0000190,C000489,D002849,2025-12-13 11:10:41,IP-352.173.125.73,Firefox,iOS,L0037,Failed,Invalid Password,False,True,True,100,9
LN0000191,C000081,D003219,2026-07-08 12:48:49,IP-402.60.215.217,Edge,Windows,L0008,Success,,True,False,False,51,0
LN0000192,C002970,D001067,2025-02-27 20:51:47,IP-215.152.150.116,Chrome,Windows,L0030,Success,,False,True,False,35,3
LN0000193,C000308,D000470,2025-09-12 05:35:21,IP-536.146.153.135,Edge,iOS,L0022,Success,,False,False,False,37,3
LN0000194,C000130,D002952,2026-07-01 09:27:41,IP-445.140.203.103,Safari,iOS,L0049,Success,,False,False,False,60,0
LN0000195,C003647,D003575,2025-09-30 04:57:07,IP-936.67.178.7,Edge,iOS,L0042,Success,,False,False,False,68,0
LN0000196,C000603,D002595,2025-03-30 16:04:25,IP-792.155.153.248,Safari,Windows,L0042,Success,,False,False,False,7,0
LN0000197,C002056,D002872,2025-05-24 15:19:29,IP-264.80.83.40,Firefox,iOS,L0024,Failed,Invalid Password,True,True,False,57,3
LN0000198,C000544,D001102,2026-01-16 19:35:15,IP-757.107.210.32,Firefox,Linux,L0012,Success,,True,False,False,33,1
LN0000199,C001087,D000880,2025-02-17 08:51:21,IP-740.116.69.168,Safari,Windows,L0044,Success,,False,False,False,33,1
LN0000200,C002457,D002315,2025-03-16 17:00:42,IP-474.110.52.96,Safari,Android,L0001,Failed,Account Locked,False,False,True,100,8
LN0000201,C000823,D001571,2025-03-28 21:57:22,IP-994.108.72.193,Edge,macOS,L0031,Success,,True,False,False,62,1
LN0000202,C000195,D000617,2025-07-24 09:27:25,IP-840.67.239.19,Firefox,Windows,L0024,Success,,False,False,False,19,2
LN0000203,C004186,D003107,2026-03-20 15:59:35,IP-966.161.202.176,Safari,Windows,L0024,Success,,False,False,False,20,2
LN0000204,C004035,D000307,2026-03-14 16:34:33,IP-654.29.174.145,Safari,Windows,L0008,Success,,False,False,False,11,3
LN0000205,C004311,D002966,2026-02-06 21:01:22,IP-866.35.11.154,Edge,iOS,L0045,Success,,True,False,False,5,2
LN0000206,C002657,D000993,2025-04-19 11:21:23,IP-392.14.14.16,Edge,Linux,L0038,Success,,False,False,False,26,1
LN0000207,C000616,D003372,2025-11-26 08:33:10,IP-355.165.234.30,Firefox,macOS,L0035,Success,,True,False,False,42,1
LN0000208,C003922,D000966,2025-02-21 07:52:20,IP-903.162.218.189,Safari,Linux,L0029,Success,,False,False,False,33,2
LN0000209,C001570,D002353,2025-04-17 13:28:38,IP-214.197.133.170,Chrome,macOS,L0050,Success,,False,False,False,23,2
LN0000210,C001767,D000876,2026-04-16 15:09:40,IP-114.83.152.216,Chrome,Android,L0013,Success,,False,False,False,17,1
