FraudCaseID,TransactionID,CustomerID,FraudType,FraudStatus,RiskLevel,InvestigatorID,InvestigationDate,ResolutionDate,InvestigationDurationHours,FraudAmount,RecoveredAmount,FinancialLoss,CasePriority,InvestigationResult
FC000035,T00000709,C002296,Phishing,Open,Medium,E00065,23-11-2025,,168,554.41,186.89,367.53,High,Customer Reimbursed
FC000036,T00000726,C000628,Money Laundering,Escalated,Critical,E00051,21-11-2025,,NULL,225.56,0,225.56,Medium,Law Enforcement Referred
FC000037,T00000756,C003083,Card Theft,Closed,High,E00127,26-06-2026,26-06-2026,0,397.37,0,397.37,Low,False Positive
FC000038,T00000855,C004129,ATM Fraud,Closed,High,E00100,04-05-2025,04-05-2025,0,398.36,0,398.36,Medium,Law Enforcement Referred
FC000039,T00000883,C002996,UPI Fraud,Closed,High,E00088,07-05-2025,10-05-2025,72,6291.53,1124.31,5167.22,High,Customer Reimbursed
FC000040,T00000894,C004036,UPI Fraud,Closed,High,E00012,14-06-2026,14-06-2026,0,763.5,0,763.5,Medium,False Positive
FC000041,T00000899,C002070,UPI Fraud,Open,High,E00068,23-12-2025,,120,86.11,63.7,22.41,Medium,Customer Reimbursed
FC000042,T00000915,C002312,Account Takeover,Closed,Critical,E00034,13-06-2025,15-06-2025,48,5146.82,1803.01,3343.81,High,False Positive
FC000043,T00000937,C002790,ATM Fraud,Closed,High,E00134,15-05-2026,15-05-2026,0,29144.45,0,29144.45,Low,Confirmed Fraud
FC000044,T00000939,C004516,Card Theft,Closed,Critical,E00026,29-03-2026,01-04-2026,72,385.51,304.54,80.97,High,Customer Reimbursed
FC000045,T00000957,C004664,Merchant Fraud,Escalated,Medium,E00074,16-06-2026,,240,1977.54,951.23,1026.31,High,Confirmed Fraud
FC000046,T00000992,C001393,Money Laundering,Closed,High,E00132,04-07-2025,06-07-2025,48,141.44,126.89,14.56,Medium,Account Secured
FC000047,T00001008,C003762,ATM Fraud,Escalated,Critical,E00030,31-07-2026,,NULL,142.71,0,142.71,High,Law Enforcement Referred
FC000048,T00001033,C003644,Phishing,Closed,High,E00127,15-07-2025,15-07-2025,0,418.29,0,418.29,Medium,Law Enforcement Referred
FC000049,T00001056,C002126,Card Theft,Closed,Critical,E00143,24-06-2025,26-06-2025,48,9023.63,5756.77,3266.87,Low,Account Secured
FC000050,T00001081,C002002,Account Takeover,Under Investigation,High,E00137,16-03-2026,,NULL,418.06,0,418.06,High,Confirmed Fraud
FC000051,T00001106,C001761,Merchant Fraud,Closed,High,E00049,25-06-2026,02-07-2026,168,1315.98,763.05,552.93,High,False Positive
FC000052,T00001152,C003810,Phishing,Closed,High,E00122,11-03-2026,18-03-2026,168,775.51,345.62,429.89,Medium,Confirmed Fraud
FC000053,T00001201,C002404,Identity Theft,Escalated,High,E00117,09-10-2025,,72,5556.14,916.28,4639.86,Medium,Law Enforcement Referred
FC000054,T00001257,C004376,Phishing,Closed,High,E00010,09-04-2026,09-04-2026,0,389.51,0,389.51,High,False Positive
FC000055,T00001264,C000864,Card Theft,Closed,Critical,E00078,24-11-2025,02-12-2025,192,2335.15,1879.2,455.95,Medium,Account Secured
FC000056,T00001284,C002523,Merchant Fraud,Closed,Medium,E00141,16-06-2025,23-06-2025,168,629.09,555.68,73.41,High,Customer Reimbursed
FC000057,T00001311,C000682,Card Theft,Closed,High,E00061,29-04-2025,04-05-2025,120,287.6,101.29,186.31,High,Confirmed Fraud
FC000058,T00001328,C004121,ATM Fraud,Under Investigation,Medium,E00023,24-03-2026,,72,441.2,194.54,246.66,High,Law Enforcement Referred
FC000059,T00001332,C002968,International Fraud,Closed,Critical,E00079,25-04-2025,26-04-2025,24,322.72,253.81,68.91,Medium,Customer Reimbursed
FC000060,T00001381,C002775,Online Banking Fraud,Open,High,E00143,31-08-2025,,96,3495.71,2025.76,1469.95,Critical,Account Secured
FC000061,T00001442,C004707,Identity Theft,Closed,High,E00114,07-02-2026,07-02-2026,0,363.93,0,363.93,Medium,Law Enforcement Referred
FC000062,T00001455,C001260,Identity Theft,Closed,Medium,E00123,25-06-2026,25-06-2026,0,2274.4,0,2274.4,High,Confirmed Fraud
FC000063,T00001459,C003449,Identity Theft,Closed,High,E00142,28-01-2025,03-02-2025,144,3112.07,947.85,2164.22,Low,Customer Reimbursed
FC000064,T00001473,C001050,Online Banking Fraud,Closed,High,E00014,22-12-2025,27-12-2025,120,209.55,21.8,187.75,High,Confirmed Fraud
FC000065,T00001508,C003790,Card Theft,Escalated,High,E00024,28-03-2026,,NULL,422.02,0,422.02,High,False Positive
FC000066,T00001514,C000269,Account Takeover,Closed,High,E00048,09-07-2026,11-07-2026,48,138.7,84.12,54.58,Critical,Customer Reimbursed
FC000067,T00001531,C002908,Identity Theft,Under Investigation,High,E00068,17-03-2025,,168,961.37,231.48,729.89,Medium,Account Secured
FC000068,T00001547,C002279,Account Takeover,Closed,Critical,E00008,11-08-2025,12-08-2025,24,770.77,158.94,611.83,Low,Confirmed Fraud
FC000069,T00001549,C000057,Identity Theft,Closed,Critical,E00125,30-03-2025,30-03-2025,0,380.8,0,380.8,High,Confirmed Fraud
FC000070,T00001553,C001469,Merchant Fraud,Under Investigation,High,E00053,15-07-2025,,NULL,636.28,0,636.28,High,False Positive
FC000071,T00001567,C002764,International Fraud,Closed,Critical,E00134,11-02-2026,11-02-2026,0,5425.27,0,5425.27,Medium,False Positive
FC000072,T00001581,C004639,Online Banking Fraud,Closed,High,E00094,22-05-2026,22-05-2026,0,560.67,0,560.67,Medium,Confirmed Fraud
FC000073,T00001595,C000580,Merchant Fraud,Closed,Critical,E00065,11-08-2025,11-08-2025,0,1751.4,0,1751.4,Low,Customer Reimbursed
FC000074,T00001616,C002279,Money Laundering,Closed,Critical,E00066,27-01-2026,27-01-2026,0,1101.83,0,1101.83,Medium,Account Secured
FC000075,T00001638,C004017,Money Laundering,Under Investigation,High,E00146,10-09-2025,,216,280.3,79.23,201.07,Low,Customer Reimbursed
FC000076,T00001687,C004469,Identity Theft,Open,High,E00078,25-06-2025,,24,2270.04,1627.55,642.48,High,Confirmed Fraud
FC000077,T00001692,C003297,Money Laundering,Closed,Critical,E00073,02-07-2025,03-07-2025,24,460.29,101.42,358.88,Critical,Account Secured
FC000078,T00001706,C003698,Suspicious Transfer,Closed,Critical,E00129,21-04-2026,24-04-2026,72,625.58,376.97,248.62,Critical,Law Enforcement Referred
FC000079,T00001716,C002466,Money Laundering,Closed,Critical,E00066,04-05-2025,12-05-2025,192,471.52,309.84,161.69,High,False Positive
FC000080,T00001717,C002681,Online Banking Fraud,Closed,Critical,E00005,19-03-2025,20-03-2025,24,254.9,197,57.91,Critical,Account Secured
FC000081,T00001723,C003086,Money Laundering,Closed,High,E00072,16-01-2025,16-01-2025,0,1227.79,0,1227.79,Medium,Law Enforcement Referred
FC000082,T00001739,C000456,Online Banking Fraud,Closed,Critical,E00095,20-06-2026,21-06-2026,24,357.32,134.42,222.9,High,Account Secured
FC000083,T00001791,C002248,ATM Fraud,Under Investigation,Critical,E00055,15-10-2025,,120,1170.73,579.9,590.82,High,Law Enforcement Referred
FC000084,T00001808,C004311,Suspicious Transfer,Closed,High,E00024,18-07-2026,23-07-2026,120,855.05,148.48,706.57,High,Confirmed Fraud
FC000085,T00001825,C001044,Card Theft,Closed,Medium,E00101,27-11-2025,28-11-2025,24,318,205.22,112.78,Low,False Positive
FC000086,T00001837,C003718,Suspicious Transfer,Closed,Critical,E00053,20-01-2026,20-01-2026,0,1957.29,0,1957.29,Medium,Account Secured
FC000087,T00001843,C001543,Card Theft,Closed,Medium,E00088,23-02-2025,23-02-2025,0,6538.15,0,6538.15,Critical,Account Secured
FC000088,T00001853,C003569,UPI Fraud,Open,High,E00012,10-12-2025,,144,1782.33,1034.5,747.83,High,Account Secured
FC000089,T00001888,C002194,International Fraud,Closed,High,E00062,13-10-2025,20-10-2025,168,723.04,595.64,127.39,High,False Positive
FC000090,T00001901,C003667,Account Takeover,Closed,High,E00113,20-06-2026,21-06-2026,24,2205.93,1954.33,251.6,Medium,False Positive
FC000091,T00001902,C001807,Online Banking Fraud,Closed,High,E00082,19-01-2026,26-01-2026,168,2405.76,526.95,1878.81,High,False Positive
FC000092,T00001907,C000366,Card Theft,Closed,Critical,E00016,11-06-2026,11-06-2026,0,188.2,0,188.2,High,False Positive
FC000093,T00001914,C002682,Phishing,Closed,Critical,E00131,08-09-2025,09-09-2025,24,4743.63,2106.78,2636.85,Medium,Customer Reimbursed
FC000094,T00001982,C000857,International Fraud,Closed,Critical,E00076,21-07-2026,25-07-2026,96,280.62,223.1,57.52,High,Account Secured
FC000095,T00001989,C003766,Phishing,Closed,High,E00076,01-06-2026,09-06-2026,192,685.88,197.82,488.06,Medium,Law Enforcement Referred
FC000096,T00001994,C001621,Identity Theft,Closed,High,E00009,20-12-2025,22-12-2025,48,677.91,188.06,489.85,Critical,Law Enforcement Referred
FC000097,T00002021,C000165,Phishing,Open,Medium,E00141,17-01-2025,,48,3045.22,2093.42,951.8,Medium,Account Secured
FC000098,T00002044,C003386,Phishing,Closed,Critical,E00056,28-01-2025,06-02-2025,216,330.94,152.25,178.69,Medium,Law Enforcement Referred
FC000099,T00002051,C002316,ATM Fraud,Closed,High,E00141,04-08-2025,04-08-2025,0,317.8,0,317.8,Critical,Customer Reimbursed
FC000100,T00002079,C003094,Account Takeover,Closed,High,E00121,24-07-2025,31-07-2025,168,599.41,60.31,539.09,High,Account Secured
FC000101,T00002081,C000848,UPI Fraud,Open,Critical,E00112,06-07-2025,,72,723.03,598.25,124.78,High,False Positive
FC000102,T00002083,C002438,ATM Fraud,Open,High,E00149,22-02-2025,,72,45.39,27.6,17.8,Medium,Customer Reimbursed
FC000103,T00002104,C003916,Account Takeover,Under Investigation,High,E00105,09-06-2025,,96,142.25,56.65,85.6,Critical,Account Secured
FC000104,T00002109,C001566,Phishing,Escalated,High,E00038,16-07-2025,,24,2150.54,1214.43,936.11,Critical,False Positive
FC000105,T00002123,C004546,Phishing,Open,High,E00110,04-12-2025,,144,274.33,200.76,73.57,High,Customer Reimbursed
FC000106,T00002125,C001358,Account Takeover,Closed,Medium,E00064,03-12-2025,12-12-2025,216,296.7,82.62,214.09,Low,Law Enforcement Referred
FC000107,T00002136,C003884,Identity Theft,Closed,High,E00018,08-11-2025,10-11-2025,48,144.35,64.03,80.32,Medium,Confirmed Fraud
FC000108,T00002157,C000640,Account Takeover,Closed,Critical,E00119,26-06-2026,03-07-2026,168,363.86,95.94,267.92,Medium,Account Secured
FC000109,T00002203,C004660,Money Laundering,Closed,High,E00089,13-06-2025,19-06-2025,144,157.23,100.47,56.76,Medium,Customer Reimbursed
FC000110,T00002241,C001675,Account Takeover,Closed,High,E00144,18-03-2026,21-03-2026,72,216.77,54.53,162.24,Medium,Account Secured
FC000111,T00002288,C001756,Money Laundering,Closed,High,E00098,04-08-2025,06-08-2025,48,402.48,271.97,130.51,High,Customer Reimbursed
FC000112,T00002353,C000824,Phishing,Closed,Medium,E00100,23-01-2026,31-01-2026,192,920.24,211.24,709,Critical,False Positive
FC000113,T00002400,C004494,Account Takeover,Closed,Critical,E00059,28-05-2026,06-06-2026,216,154.8,94.71,60.09,Critical,Law Enforcement Referred
FC000114,T00002433,C004132,Identity Theft,Under Investigation,Critical,E00129,13-02-2026,,240,263.52,157.5,106.02,Critical,Confirmed Fraud
FC000115,T00002434,C004878,ATM Fraud,Closed,Critical,E00101,01-09-2025,09-09-2025,192,309.87,152,157.87,Critical,Customer Reimbursed
FC000116,T00002446,C001152,ATM Fraud,Open,High,E00107,23-04-2025,,NULL,154.61,0,154.61,Medium,False Positive
FC000117,T00002462,C003953,Suspicious Transfer,Under Investigation,Medium,E00060,26-07-2026,,168,636.12,65.96,570.16,Medium,Account Secured
FC000118,T00002465,C004692,Phishing,Closed,Critical,E00039,27-06-2025,27-06-2025,0,146.09,0,146.09,High,False Positive
FC000119,T00002477,C003128,Suspicious Transfer,Closed,Critical,E00058,29-12-2025,01-01-2026,72,2482.86,784.61,1698.25,Critical,False Positive
FC000120,T00002487,C004832,Phishing,Closed,Medium,E00050,26-12-2025,29-12-2025,72,178.7,146.25,32.45,Critical,False Positive
FC000121,T00002496,C001080,Identity Theft,Under Investigation,High,E00127,24-10-2025,,216,346.71,299.04,47.68,Low,Customer Reimbursed
FC000122,T00002621,C000973,Identity Theft,Closed,High,E00140,11-07-2026,13-07-2026,48,457.74,57.91,399.82,Low,Customer Reimbursed
FC000123,T00002649,C002627,Card Theft,Escalated,High,E00040,03-07-2025,,72,4415.07,1369.02,3046.06,High,Account Secured
FC000124,T00002668,C003152,Online Banking Fraud,Escalated,High,E00132,22-06-2025,,216,2031.29,764.26,1267.03,Low,Customer Reimbursed
FC000125,T00002685,C003322,Account Takeover,Under Investigation,Critical,E00082,02-11-2025,,96,9375.1,5312.4,4062.7,Medium,Account Secured
FC000126,T00002728,C004482,Money Laundering,Closed,High,E00108,25-04-2026,25-04-2026,0,1157.19,0,1157.19,Critical,False Positive
FC000127,T00002734,C003501,ATM Fraud,Closed,High,E00010,30-07-2025,30-07-2025,0,892.25,0,892.25,High,Confirmed Fraud
FC000128,T00002749,C004022,UPI Fraud,Closed,Critical,E00107,19-11-2025,23-11-2025,96,321.1,189.77,131.32,High,Law Enforcement Referred
FC000129,T00002765,C002507,UPI Fraud,Open,Medium,E00042,02-09-2025,,168,1127.51,470.67,656.84,High,Customer Reimbursed
FC000130,T00002770,C002645,Money Laundering,Open,Critical,E00001,24-06-2026,,72,930.04,515.19,414.85,High,Customer Reimbursed
FC000131,T00002778,C001320,Phishing,Closed,Medium,E00096,17-05-2026,17-05-2026,0,346.95,0,346.95,Critical,Account Secured
FC000132,T00002785,C003039,Card Theft,Closed,High,E00073,20-06-2025,25-06-2025,120,12135.73,10843.35,1292.38,High,Law Enforcement Referred
FC000133,T00002819,C001984,Suspicious Transfer,Under Investigation,High,E00107,15-08-2025,,0,2218.04,1179.52,1038.52,High,Confirmed Fraud
FC000134,T00002849,C003757,ATM Fraud,Closed,Medium,E00035,17-04-2026,17-04-2026,0,1493.66,0,1493.66,Medium,Account Secured
FC000135,T00002922,C003378,ATM Fraud,Under Investigation,High,E00087,20-04-2025,,120,93.11,63.57,29.54,High,Account Secured
FC000136,T00002923,C002201,Account Takeover,Closed,High,E00027,08-09-2025,12-09-2025,96,928.58,530.3,398.28,High,Customer Reimbursed
FC000137,T00002956,C001713,Online Banking Fraud,Closed,High,E00004,02-03-2025,03-03-2025,24,156.15,31.47,124.69,High,False Positive
FC000138,T00003000,C002752,Identity Theft,Closed,Critical,E00074,06-07-2025,10-07-2025,96,1689.58,1276.9,412.68,Medium,False Positive
FC000139,T00003001,C003397,Online Banking Fraud,Open,High,E00065,11-10-2025,,NULL,665.38,0,665.38,Medium,Confirmed Fraud
FC000140,T00003013,C003502,International Fraud,Closed,Critical,E00006,06-02-2025,06-02-2025,0,94.68,27.88,66.8,Medium,Law Enforcement Referred
FC000141,T00003050,C000734,International Fraud,Closed,High,E00145,10-12-2025,10-12-2025,0,1791.29,0,1791.29,High,Customer Reimbursed
FC000142,T00003055,C001314,Card Theft,Under Investigation,Critical,E00082,18-12-2025,,192,859.91,669.62,190.29,High,Account Secured
FC000143,T00003065,C001012,Suspicious Transfer,Closed,Medium,E00146,31-07-2026,02-08-2026,48,479.23,255.77,223.46,High,Law Enforcement Referred
FC000144,T00003087,C001165,Account Takeover,Closed,High,E00097,18-02-2026,21-02-2026,72,2052.11,250.86,1801.25,High,Confirmed Fraud
FC000145,T00003117,C002802,Suspicious Transfer,Closed,High,E00134,05-11-2025,11-11-2025,144,66.85,22.47,44.38,Medium,Customer Reimbursed
FC000146,T00003125,C002516,ATM Fraud,Closed,Critical,E00078,17-05-2025,17-05-2025,0,1447.76,0,1447.76,Medium,Account Secured
FC000147,T00003157,C000133,Merchant Fraud,Closed,Medium,E00044,23-04-2025,29-04-2025,144,3389.99,567.81,2822.18,High,Account Secured
FC000148,T00003169,C003045,International Fraud,Open,High,E00129,09-02-2026,,192,810.04,365.89,444.16,High,Confirmed Fraud
FC000149,T00003189,C004473,Phishing,Closed,High,E00054,12-02-2026,19-02-2026,168,6478.67,3183.07,3295.6,Critical,Account Secured
FC000150,T00003221,C004696,Suspicious Transfer,Escalated,Medium,E00013,31-07-2026,,72,327.96,270.36,57.6,High,Account Secured
FC000151,T00003258,C001154,Money Laundering,Closed,Medium,E00138,11-06-2026,12-06-2026,24,279.06,213.63,65.43,Medium,Confirmed Fraud
FC000152,T00003291,C001883,Money Laundering,Escalated,High,E00068,08-01-2025,,144,304.17,111.42,192.75,Medium,Confirmed Fraud
FC000153,T00003310,C003001,Online Banking Fraud,Closed,Critical,E00045,15-03-2026,21-03-2026,144,700.26,339.5,360.76,High,Law Enforcement Referred
FC000154,T00003393,C002171,Card Theft,Under Investigation,Critical,E00026,15-12-2025,,192,173.43,143.08,30.36,High,Law Enforcement Referred
FC000155,T00003394,C000423,Online Banking Fraud,Closed,High,E00051,30-12-2025,06-01-2026,168,757.71,437.74,319.97,High,Confirmed Fraud
FC000156,T00003413,C002639,Online Banking Fraud,Closed,Critical,E00100,22-06-2025,22-06-2025,0,238.78,0,238.78,High,Customer Reimbursed
FC000157,T00003415,C004505,Merchant Fraud,Escalated,High,E00081,04-04-2025,,NULL,1281.56,0,1281.56,High,Law Enforcement Referred
FC000158,T00003484,C001654,Money Laundering,Closed,Critical,E00016,06-01-2026,10-01-2026,96,518.8,460.48,58.32,Medium,Confirmed Fraud
FC000159,T00003488,C004853,Account Takeover,Closed,Medium,E00054,19-01-2025,19-01-2025,0,52.51,0,52.51,Critical,Customer Reimbursed
FC000160,T00003489,C004952,Account Takeover,Closed,High,E00046,10-07-2026,10-07-2026,0,1195.06,548.41,646.65,Low,False Positive
FC000161,T00003526,C003467,UPI Fraud,Closed,Critical,E00112,22-04-2026,24-04-2026,48,1172.1,271.4,900.7,High,Customer Reimbursed
FC000162,T00003549,C004047,ATM Fraud,Closed,Medium,E00120,31-05-2025,02-06-2025,48,1146.92,925.62,221.3,Low,Law Enforcement Referred
FC000163,T00003556,C000388,UPI Fraud,Under Investigation,Medium,E00142,16-06-2025,,96,2190.44,839.13,1351.32,High,Customer Reimbursed
FC000164,T00003583,C001565,International Fraud,Closed,Critical,E00052,18-09-2025,25-09-2025,168,901.4,272.37,629.03,High,Law Enforcement Referred
FC000165,T00003623,C004174,Money Laundering,Open,Medium,E00066,23-03-2025,,120,1714.04,1528.97,185.07,High,Confirmed Fraud
FC000166,T00003643,C003872,Card Theft,Closed,Critical,E00043,04-04-2026,04-04-2026,0,492.13,0,492.13,High,Account Secured
FC000167,T00003652,C000020,Phishing,Under Investigation,Critical,E00066,14-02-2025,,216,371.28,274.7,96.58,Medium,Law Enforcement Referred
FC000168,T00003657,C001180,International Fraud,Closed,High,E00130,17-04-2026,17-04-2026,0,366.23,0,366.23,Critical,False Positive
FC000169,T00003712,C002959,Money Laundering,Open,High,E00116,05-12-2025,,144,795.45,541.81,253.65,High,Customer Reimbursed
FC000170,T00003796,C000950,Money Laundering,Closed,High,E00010,08-04-2026,10-04-2026,48,2998.55,2629.05,369.5,High,Account Secured
FC000171,T00003800,C001275,Account Takeover,Open,Critical,E00057,26-02-2025,,120,365.69,317.39,48.3,Medium,Account Secured
FC000172,T00003809,C001982,ATM Fraud,Under Investigation,Medium,E00105,09-04-2026,,24,846.89,735.23,111.67,High,Law Enforcement Referred
FC000173,T00003848,C000465,Identity Theft,Closed,High,E00046,09-07-2025,17-07-2025,192,2787.4,878.88,1908.52,Medium,False Positive
FC000174,T00003859,C000419,Phishing,Closed,Medium,E00006,21-11-2025,27-11-2025,144,1712.78,1505.49,207.29,Medium,Law Enforcement Referred
FC000175,T00003875,C003755,UPI Fraud,Escalated,Critical,E00025,14-06-2025,,144,1868.87,629.93,1238.95,High,Customer Reimbursed
FC000176,T00003877,C004405,UPI Fraud,Closed,High,E00147,21-07-2025,25-07-2025,96,822.47,667.59,154.88,High,Law Enforcement Referred
FC000177,T00003900,C002722,Money Laundering,Closed,Critical,E00025,22-02-2026,22-02-2026,0,365.54,0,365.54,Critical,Confirmed Fraud
FC000178,T00003930,C003647,UPI Fraud,Under Investigation,High,E00115,29-09-2025,,NULL,7704.9,0,7704.9,High,Confirmed Fraud
FC000179,T00003962,C002726,Identity Theft,Closed,High,E00077,17-03-2026,23-03-2026,144,119.13,53.33,65.8,High,Account Secured
FC000180,T00003988,C004376,Account Takeover,Open,Critical,E00074,18-09-2025,,120,65.51,38.48,27.03,Medium,False Positive
FC000181,T00003990,C004734,Suspicious Transfer,Closed,High,E00044,04-04-2026,12-04-2026,192,1577.34,754.55,822.79,High,Customer Reimbursed
FC000182,T00003994,C002037,UPI Fraud,Open,High,E00060,03-01-2026,,72,1794.82,1405,389.82,Critical,Customer Reimbursed
FC000183,T00004014,C004858,Card Theft,Closed,Critical,E00102,20-03-2025,24-03-2025,96,965.29,863.03,102.27,High,False Positive
FC000184,T00004035,C000669,ATM Fraud,Closed,High,E00116,02-01-2025,02-01-2025,0,409.49,0,409.49,High,False Positive
FC000185,T00004062,C004751,International Fraud,Closed,Medium,E00055,04-11-2025,06-11-2025,48,262.11,141.23,120.88,Critical,Confirmed Fraud
FC000186,T00004069,C001347,Online Banking Fraud,Escalated,Critical,E00011,12-11-2025,,192,282.62,247.18,35.44,Medium,Account Secured
FC000187,T00004078,C001990,Phishing,Escalated,Critical,E00078,18-05-2026,,192,262,40.91,221.09,High,False Positive
FC000188,T00004103,C002367,Account Takeover,Closed,Medium,E00046,27-10-2025,02-11-2025,144,99.18,40.69,58.49,Medium,Confirmed Fraud
FC000189,T00004149,C000052,International Fraud,Open,High,E00100,03-06-2026,,NULL,1579.85,0,1579.85,High,Confirmed Fraud
FC000190,T00004170,C003585,Merchant Fraud,Under Investigation,High,E00138,18-04-2026,,NULL,290.21,0,290.21,High,Confirmed Fraud
FC000191,T00004187,C003654,Card Theft,Closed,High,E00136,10-04-2026,10-04-2026,0,369.59,0,369.59,High,Customer Reimbursed
FC000192,T00004197,C001332,Money Laundering,Closed,Medium,E00093,13-06-2026,17-06-2026,96,216.26,67.09,149.17,High,False Positive
FC000193,T00004207,C000411,ATM Fraud,Closed,High,E00083,18-02-2025,18-02-2025,0,226.77,0,226.77,High,Law Enforcement Referred
FC000194,T00004215,C000455,UPI Fraud,Under Investigation,Medium,E00047,16-05-2025,,216,584.47,432.51,151.96,Critical,Account Secured
FC000195,T00004217,C000905,ATM Fraud,Closed,High,E00029,04-11-2025,07-11-2025,72,9694.44,7463.03,2231.41,Low,Law Enforcement Referred
FC000196,T00004218,C004322,Merchant Fraud,Closed,Critical,E00138,17-01-2026,18-01-2026,24,81.85,66.21,15.63,High,Customer Reimbursed
