MerchantID,MerchantName,MerchantCategory,City,State,Country,MerchantRiskScore,MerchantStatus,AverageTransactionAmount
M00074,Apex Services 74,Gaming,Seattle,Washington,USA,73,Active,90.14
M00075,Nova Travel 75,Grocery,Los Angeles,California,USA,3,Active,198.56
M00076,Blue Foods 76,Gaming,Delhi,Delhi,India,17,Active,161.53
M00077,Global Services 77,Crypto Exchange,New York,New York,USA,47,Suspended,53.8
M00078,Prime Foods 78,Money Transfer,Berlin,Berlin,Germany,35,Active,58.04
M00079,Metro Tech 79,Crypto Exchange,Frankfurt,Hesse,Germany,42,Active,182.88
M00080,Quick Pay 80,Healthcare,Ahmedabad,Gujarat,India,80,Active,126.27
M00081,Nova Mart 81,Fuel,Leeds,England,UK,70,Active,178.32
M00082,Nova Store 82,Fuel,Frankfurt,Hesse,Germany,31,Active,215.82
M00083,Quick Pay 83,Electronics,Pune,Maharashtra,India,75,Active,344.35
M00084,Apex Travel 84,Marketplace,Pune,Maharashtra,India,75,Active,179.27
M00085,Blue Market 85,Travel,Hamburg,Hamburg,Germany,24,Active,83.33
M00086,Quick Services 86,Fuel,Ahmedabad,Gujarat,India,97,Active,283.54
M00087,Global Foods 87,Healthcare,Chennai,Tamil Nadu,India,81,Active,300.44
M00088,Prime Store 88,Crypto Exchange,Chicago,Illinois,USA,40,Active,91.4
M00089,Blue Market 89,Money Transfer,Pune,Maharashtra,India,9,Active,47.63
M00090,Metro Pay 90,Jewelry,Manchester,England,UK,30,Active,66.14
M00091,Quick Market 91,Grocery,Pune,Maharashtra,India,52,Active,37.18
M00092,Prime Store 92,Gaming,Dallas,Texas,USA,39,Active,120.41
M00093,Quick Services 93,Marketplace,Dallas,Texas,USA,51,Active,66.39
M00094,Prime Pay 94,Crypto Exchange,New York,New York,USA,90,Active,32.37
M00095,Prime Store 95,Money Transfer,Cologne,North Rhine-Westphalia,Germany,36,Active,417.95
M00096,Prime Services 96,Healthcare,Houston,Texas,USA,24,Active,127.88
M00097,Blue Market 97,Healthcare,Mumbai,Maharashtra,India,73,Active,63.61
M00098,Global Store 98,Travel,London,England,UK,21,Active,64.01
M00099,Global Store 99,Money Transfer,Liverpool,England,UK,47,Active,151.62
M00100,Prime Store 100,Money Transfer,Ahmedabad,Gujarat,India,39,Active,137.61
M00101,Apex Travel 101,Gaming,Hamburg,Hamburg,Germany,68,Active,116.39
M00102,Blue Travel 102,Travel,Houston,Texas,USA,24,Active,96.11
M00103,Nova Mart 103,Fuel,Miami,Florida,USA,11,Active,176.84
M00104,Apex Foods 104,Grocery,Pune,Maharashtra,India,55,Active,200.08
M00105,Global Tech 105,Restaurant,Hyderabad,Telangana,India,20,Active,248.27
M00106,Apex Travel 106,Crypto Exchange,Cologne,North Rhine-Westphalia,Germany,18,Active,142.64
M00107,Prime Services 107,Fashion,New York,New York,USA,39,Active,85.58
M00108,Global Travel 108,Fuel,Chicago,Illinois,USA,6,Active,781.26
M00109,Quick Market 109,Marketplace,Miami,Florida,USA,83,Active,109.26
M00110,Global Market 110,Electronics,Miami,Florida,USA,5,Active,75.93
M00111,Global Market 111,Healthcare,New York,New York,USA,3,Active,132.69
M00112,Urban Market 112,Grocery,Pune,Maharashtra,India,43,Active,69.48
M00113,Prime Tech 113,Marketplace,London,England,UK,77,Active,12.12
M00114,Apex Store 114,Restaurant,Leeds,England,UK,65,Active,313.06
M00115,Quick Store 115,Restaurant,Seattle,Washington,USA,42,Active,560.49
M00116,Quick Pay 116,Money Transfer,Mumbai,Maharashtra,India,6,Active,92.56
M00117,Blue Pay 117,Marketplace,London,England,UK,89,Active,131.95
M00118,Urban Services 118,Marketplace,Los Angeles,California,USA,80,Active,148.45
M00119,Prime Services 119,Restaurant,Ahmedabad,Gujarat,India,11,Active,1081.66
M00120,Blue Foods 120,Jewelry,Kolkata,West Bengal,India,37,Active,221.72
M00121,Prime Mart 121,Travel,Birmingham,England,UK,85,Active,43.13
M00122,Global Pay 122,Fuel,Houston,Texas,USA,23,Active,134.24
M00123,Nova Mart 123,Gaming,Hamburg,Hamburg,Germany,31,Active,653.95
M00124,Urban Pay 124,Crypto Exchange,Leeds,England,UK,94,Suspended,52.6
M00125,Blue Tech 125,Travel,Seattle,Washington,USA,15,Active,308.68
M00126,Prime Market 126,Electronics,London,England,UK,62,Active,27.13
M00127,Global Mart 127,Crypto Exchange,San Francisco,California,USA,75,Active,95.4
M00128,Global Mart 128,Fuel,Leeds,England,UK,24,Active,380.93
M00129,Quick Mart 129,Money Transfer,Manchester,England,UK,29,Active,786.48
M00130,Nova Foods 130,Fashion,Berlin,Berlin,Germany,64,Active,308.66
M00131,Quick Services 131,Travel,Los Angeles,California,USA,42,Active,210.8
M00132,Global Foods 132,Healthcare,Berlin,Berlin,Germany,61,Active,526.61
M00133,Nova Mart 133,Gaming,London,England,UK,23,Active,392.36
M00134,Blue Travel 134,Travel,Chennai,Tamil Nadu,India,69,Active,215.65
M00135,Apex Store 135,Electronics,Ahmedabad,Gujarat,India,32,Active,48.91
M00136,Global Store 136,Restaurant,Delhi,Delhi,India,90,Active,404.28
M00137,Metro Pay 137,Restaurant,Frankfurt,Hesse,Germany,44,Active,178.23
M00138,Metro Foods 138,Jewelry,Dallas,Texas,USA,90,Active,140.54
M00139,Prime Tech 139,Fashion,Miami,Florida,USA,33,Active,125.85
M00140,Metro Travel 140,Jewelry,Liverpool,England,UK,26,Active,33.55
M00141,Apex Pay 141,Fuel,Chicago,Illinois,USA,92,Active,70.4
M00142,Metro Foods 142,Fuel,Dallas,Texas,USA,12,Active,504.54
M00143,Prime Services 143,Restaurant,Ahmedabad,Gujarat,India,79,Active,117.23
M00144,Global Travel 144,Fuel,London,England,UK,17,Active,79.54
M00145,Blue Market 145,Money Transfer,Kolkata,West Bengal,India,62,Active,218.24
M00146,Apex Store 146,Marketplace,Los Angeles,California,USA,85,Active,706.96
M00147,Global Foods 147,Travel,Cologne,North Rhine-Westphalia,Germany,50,Active,257.61
M00148,Nova Services 148,Travel,Leeds,England,UK,54,Active,499.52
M00149,Quick Pay 149,Restaurant,Miami,Florida,USA,52,Active,148.72
M00150,Metro Travel 150,Marketplace,Hyderabad,Telangana,India,70,Active,126.39
M00151,Metro Pay 151,Crypto Exchange,Seattle,Washington,USA,87,Active,30.92
M00152,Metro Mart 152,Crypto Exchange,Delhi,Delhi,India,43,Active,159.42
M00153,Global Pay 153,Jewelry,Hyderabad,Telangana,India,81,Active,94.9
M00154,Prime Foods 154,Electronics,London,England,UK,93,Active,305.63
M00155,Apex Tech 155,Healthcare,New York,New York,USA,97,Active,173.36
M00156,Blue Pay 156,Crypto Exchange,Mumbai,Maharashtra,India,71,Active,69.31
M00157,Prime Pay 157,Money Transfer,London,England,UK,66,Active,79.29
M00158,Prime Market 158,Electronics,Dallas,Texas,USA,42,Active,55.39
M00159,Global Travel 159,Healthcare,Hamburg,Hamburg,Germany,27,Active,116.46
M00160,Urban Mart 160,Gaming,Miami,Florida,USA,52,Active,103.39
M00161,Quick Tech 161,Travel,Hyderabad,Telangana,India,63,Active,498.58
M00162,Apex Store 162,Crypto Exchange,Seattle,Washington,USA,30,Active,181.85
M00163,Blue Services 163,Grocery,New York,New York,USA,60,Active,593.44
M00164,Metro Store 164,Jewelry,Los Angeles,California,USA,49,Active,357.5
M00165,Quick Store 165,Jewelry,Los Angeles,California,USA,31,Active,414.88
M00166,Blue Tech 166,Crypto Exchange,London,England,UK,19,Active,251.75
M00167,Apex Market 167,Fashion,Birmingham,England,UK,65,Active,23.39
M00168,Prime Foods 168,Gaming,Liverpool,England,UK,46,Active,41.32
M00169,Apex Mart 169,Fashion,Liverpool,England,UK,2,Active,151.72
M00170,Metro Tech 170,Electronics,Chicago,Illinois,USA,58,Active,386.13
M00171,Apex Services 171,Fashion,Cologne,North Rhine-Westphalia,Germany,84,Active,162.94
M00172,Global Services 172,Fuel,Ahmedabad,Gujarat,India,31,Active,250.24
M00173,Nova Mart 173,Travel,Birmingham,England,UK,47,Active,62.68
M00174,Metro Travel 174,Jewelry,Los Angeles,California,USA,87,Active,203.89
M00175,Nova Pay 175,Healthcare,Houston,Texas,USA,96,Active,74.98
M00176,Metro Foods 176,Restaurant,Chennai,Tamil Nadu,India,49,Active,642.46
M00177,Prime Pay 177,Crypto Exchange,Dallas,Texas,USA,55,Suspended,142.47
M00178,Quick Tech 178,Money Transfer,Manchester,England,UK,91,Active,85.58
M00179,Prime Travel 179,Healthcare,Cologne,North Rhine-Westphalia,Germany,37,Active,88.34
M00180,Blue Store 180,Fuel,Kolkata,West Bengal,India,95,Active,127.75
M00181,Quick Services 181,Jewelry,Chennai,Tamil Nadu,India,62,Active,44.65
M00182,Quick Foods 182,Marketplace,Kolkata,West Bengal,India,41,Active,38.67
M00183,Quick Store 183,Grocery,Miami,Florida,USA,71,Active,296.8
M00184,Quick Store 184,Healthcare,Kolkata,West Bengal,India,52,Active,59.72
M00185,Nova Market 185,Fashion,Miami,Florida,USA,71,Active,54.88
M00186,Prime Market 186,Jewelry,Chicago,Illinois,USA,6,Active,77.17
M00187,Blue Services 187,Electronics,Dallas,Texas,USA,98,Active,133.53
M00188,Prime Tech 188,Jewelry,Los Angeles,California,USA,38,Active,537.65
M00189,Blue Travel 189,Electronics,Frankfurt,Hesse,Germany,49,Active,69.7
M00190,Urban Foods 190,Crypto Exchange,San Francisco,California,USA,46,Active,22.53
M00191,Nova Pay 191,Grocery,Los Angeles,California,USA,82,Active,73.58
M00192,Quick Store 192,Marketplace,Dallas,Texas,USA,92,Active,178.77
M00193,Blue Store 193,Healthcare,Chicago,Illinois,USA,85,Active,58.99
M00194,Apex Market 194,Healthcare,Dallas,Texas,USA,36,Active,43.9
M00195,Apex Services 195,Money Transfer,Hamburg,Hamburg,Germany,58,Active,362.35
M00196,Nova Pay 196,Marketplace,Hamburg,Hamburg,Germany,34,Active,142.09
M00197,Quick Services 197,Electronics,Seattle,Washington,USA,44,Active,26.1
M00198,Prime Travel 198,Restaurant,Chennai,Tamil Nadu,India,97,Active,193.29
M00199,Urban Travel 199,Grocery,Ahmedabad,Gujarat,India,54,Active,21.17
M00200,Quick Market 200,Money Transfer,Los Angeles,California,USA,30,Active,124.9
M00201,Blue Mart 201,Money Transfer,Houston,Texas,USA,16,Active,48.63
M00202,Quick Foods 202,Jewelry,Berlin,Berlin,Germany,83,Active,104.48
M00203,Quick Store 203,Healthcare,Miami,Florida,USA,92,Active,581.57
M00204,Blue Services 204,Fuel,Seattle,Washington,USA,40,Active,37.54
M00205,Apex Tech 205,Electronics,Bengaluru,Karnataka,India,28,Active,97.08
M00206,Apex Market 206,Crypto Exchange,Seattle,Washington,USA,79,Active,135.14
M00207,Quick Market 207,Restaurant,New York,New York,USA,72,Active,73.84
M00208,Urban Pay 208,Fuel,Kolkata,West Bengal,India,55,Active,184.9
M00209,Apex Tech 209,Money Transfer,Dallas,Texas,USA,52,Active,102.19
M00210,Blue Pay 210,Grocery,Ahmedabad,Gujarat,India,73,Active,662.81
M00211,Nova Travel 211,Money Transfer,Liverpool,England,UK,93,Active,1859.48
M00212,Nova Tech 212,Restaurant,Berlin,Berlin,Germany,23,Active,138.83
M00213,Apex Store 213,Travel,Kolkata,West Bengal,India,81,Suspended,48.57
M00214,Urban Foods 214,Marketplace,Leeds,England,UK,56,Active,282.46
M00215,Global Market 215,Crypto Exchange,Bengaluru,Karnataka,India,34,Active,190.78
M00216,Quick Services 216,Healthcare,Houston,Texas,USA,56,Active,74.41
M00217,Quick Pay 217,Gaming,Ahmedabad,Gujarat,India,17,Active,265.47
M00218,Prime Travel 218,Restaurant,Hamburg,Hamburg,Germany,69,Active,149.4
M00219,Urban Store 219,Money Transfer,Manchester,England,UK,43,Active,307.88
M00220,Urban Mart 220,Jewelry,Delhi,Delhi,India,22,Active,183.19
M00221,Quick Mart 221,Jewelry,Miami,Florida,USA,21,Active,85.93
M00222,Metro Travel 222,Grocery,Manchester,England,UK,99,Active,12.41
M00223,Quick Pay 223,Crypto Exchange,New York,New York,USA,7,Active,245.36
M00224,Nova Travel 224,Electronics,New York,New York,USA,84,Active,141.57
M00225,Urban Mart 225,Restaurant,Cologne,North Rhine-Westphalia,Germany,12,Active,278.72
M00226,Blue Foods 226,Money Transfer,Seattle,Washington,USA,92,Active,84.8
M00227,Metro Store 227,Restaurant,Miami,Florida,USA,67,Active,82.71
M00228,Blue Tech 228,Money Transfer,Bengaluru,Karnataka,India,10,Active,76.55
M00229,Quick Foods 229,Healthcare,Delhi,Delhi,India,14,Active,49.69
M00230,Prime Store 230,Gaming,London,England,UK,25,Active,51.93
M00231,Apex Pay 231,Restaurant,Kolkata,West Bengal,India,37,Active,188.98
M00232,Urban Market 232,Grocery,Ahmedabad,Gujarat,India,34,Active,33.51
M00233,Urban Tech 233,Gaming,Manchester,England,UK,42,Active,263.88
M00234,Quick Pay 234,Grocery,Los Angeles,California,USA,36,Active,11.09
M00235,Global Services 235,Electronics,San Francisco,California,USA,53,Active,184.49
M00236,Apex Services 236,Jewelry,New York,New York,USA,9,Active,43.73
M00237,Apex Services 237,Fuel,Liverpool,England,UK,4,Active,505.7
M00238,Global Pay 238,Healthcare,San Francisco,California,USA,85,Active,41.86
M00239,Metro Store 239,Restaurant,London,England,UK,80,Active,153.49
M00240,Global Pay 240,Gaming,Chennai,Tamil Nadu,India,85,Active,77.98
M00241,Prime Travel 241,Crypto Exchange,Delhi,Delhi,India,48,Active,34.13
M00242,Urban Tech 242,Fuel,London,England,UK,87,Active,144.14
M00243,Metro Pay 243,Money Transfer,Houston,Texas,USA,78,Active,135.05
M00244,Nova Travel 244,Electronics,Chicago,Illinois,USA,22,Active,18.24
M00245,Urban Tech 245,Jewelry,Bengaluru,Karnataka,India,78,Active,75.28
M00246,Urban Pay 246,Electronics,Delhi,Delhi,India,58,Active,65.38
M00247,Nova Travel 247,Money Transfer,Kolkata,West Bengal,India,29,Active,173.3
M00248,Global Tech 248,Crypto Exchange,Pune,Maharashtra,India,22,Active,27.39
M00249,Metro Pay 249,Jewelry,Miami,Florida,USA,25,Active,107.54
M00250,Prime Store 250,Restaurant,Liverpool,England,UK,10,Active,61.89
M00251,Urban Foods 251,Restaurant,Ahmedabad,Gujarat,India,9,Active,54.7
M00252,Metro Store 252,Fuel,Mumbai,Maharashtra,India,7,Active,322.97
M00253,Urban Travel 253,Crypto Exchange,Mumbai,Maharashtra,India,90,Active,422.99
M00254,Quick Mart 254,Travel,Bengaluru,Karnataka,India,95,Active,164.27
M00255,Urban Tech 255,Crypto Exchange,Mumbai,Maharashtra,India,43,Active,93.8
M00256,Prime Foods 256,Fashion,Bengaluru,Karnataka,India,58,Active,218.38
M00257,Metro Market 257,Marketplace,Miami,Florida,USA,46,Active,222.81
M00258,Quick Tech 258,Marketplace,Manchester,England,UK,77,Active,237.5
M00259,Prime Travel 259,Marketplace,Hyderabad,Telangana,India,20,Active,464.73
M00260,Nova Mart 260,Grocery,Bengaluru,Karnataka,India,87,Active,23.96
M00261,Blue Services 261,Jewelry,Birmingham,England,UK,31,Active,349.75
M00262,Blue Services 262,Crypto Exchange,New York,New York,USA,8,Active,59.88
M00263,Nova Travel 263,Gaming,Dallas,Texas,USA,66,Active,265.44
M00264,Urban Foods 264,Marketplace,London,England,UK,34,Active,113.5
M00265,Quick Store 265,Marketplace,Miami,Florida,USA,20,Active,67.49
M00266,Global Travel 266,Healthcare,Manchester,England,UK,87,Active,41.66
M00267,Metro Mart 267,Travel,New York,New York,USA,57,Active,43.91
M00268,Nova Foods 268,Jewelry,Seattle,Washington,USA,48,Active,20.99
M00269,Apex Foods 269,Money Transfer,Miami,Florida,USA,34,Active,86.31
M00270,Metro Travel 270,Fuel,Bengaluru,Karnataka,India,43,Active,193.56
M00271,Blue Foods 271,Marketplace,Liverpool,England,UK,68,Active,193.03
M00272,Blue Foods 272,Crypto Exchange,Seattle,Washington,USA,7,Active,41.18
M00273,Urban Services 273,Healthcare,Liverpool,England,UK,66,Active,113.48
M00274,Prime Pay 274,Jewelry,Hamburg,Hamburg,Germany,17,Active,115.6
M00275,Nova Pay 275,Gaming,Liverpool,England,UK,64,Active,62.59
M00276,Apex Travel 276,Money Transfer,Munich,Bavaria,Germany,59,Active,79.67
M00277,Quick Pay 277,Healthcare,Dallas,Texas,USA,58,Active,189.9
M00278,Urban Store 278,Healthcare,Bengaluru,Karnataka,India,1,Active,46.31
M00279,Urban Market 279,Gaming,Ahmedabad,Gujarat,India,13,Active,461.1
M00280,Apex Tech 280,Crypto Exchange,Mumbai,Maharashtra,India,46,Active,131.76
M00281,Global Travel 281,Jewelry,Hamburg,Hamburg,Germany,15,Active,70.49
M00282,Apex Pay 282,Electronics,Pune,Maharashtra,India,6,Active,124.25
M00283,Blue Foods 283,Crypto Exchange,Hyderabad,Telangana,India,70,Suspended,61.79
M00284,Apex Travel 284,Marketplace,San Francisco,California,USA,6,Active,186.51
M00285,Prime Services 285,Healthcare,San Francisco,California,USA,17,Active,130.32
M00286,Nova Travel 286,Electronics,Kolkata,West Bengal,India,71,Active,216.77
M00287,Nova Foods 287,Fashion,Liverpool,England,UK,55,Active,68.07
M00288,Metro Pay 288,Fashion,Dallas,Texas,USA,63,Active,100.91
M00289,Metro Mart 289,Gaming,Chicago,Illinois,USA,69,Active,264.54
M00290,Blue Mart 290,Electronics,Houston,Texas,USA,41,Active,397.86
M00291,Blue Tech 291,Grocery,Birmingham,England,UK,88,Active,645.98
M00292,Urban Services 292,Fuel,Seattle,Washington,USA,35,Active,155.36
M00293,Quick Travel 293,Jewelry,Delhi,Delhi,India,95,Active,43.7
M00294,Quick Mart 294,Money Transfer,London,England,UK,98,Active,171.06
M00295,Prime Foods 295,Healthcare,Berlin,Berlin,Germany,16,Active,120.17
M00296,Blue Pay 296,Electronics,Ahmedabad,Gujarat,India,72,Active,64.3
M00297,Metro Mart 297,Gaming,Los Angeles,California,USA,66,Active,176.36
M00298,Nova Store 298,Grocery,Los Angeles,California,USA,29,Active,35.19
M00299,Prime Mart 299,Restaurant,Chicago,Illinois,USA,4,Active,949.95
M00300,Blue Foods 300,Grocery,Chicago,Illinois,USA,26,Active,312.44
M00301,Nova Services 301,Crypto Exchange,Frankfurt,Hesse,Germany,74,Active,104.53
M00302,Global Foods 302,Grocery,Chicago,Illinois,USA,93,Active,341.41
M00303,Nova Services 303,Restaurant,Liverpool,England,UK,76,Active,217.61
M00304,Nova Mart 304,Grocery,Mumbai,Maharashtra,India,27,Active,916.93
M00305,Nova Pay 305,Money Transfer,Los Angeles,California,USA,33,Active,40.62
M00306,Global Mart 306,Electronics,Manchester,England,UK,17,Active,107.54
M00307,Urban Tech 307,Fashion,Birmingham,England,UK,37,Active,11.4
M00308,Global Mart 308,Electronics,Chicago,Illinois,USA,4,Active,56.41
M00309,Prime Foods 309,Money Transfer,Berlin,Berlin,Germany,95,Active,483.06
M00310,Apex Market 310,Grocery,New York,New York,USA,52,Active,489.02
M00311,Quick Foods 311,Electronics,Pune,Maharashtra,India,56,Active,77.3
M00312,Blue Market 312,Restaurant,San Francisco,California,USA,52,Active,254.93
M00313,Prime Services 313,Fashion,Leeds,England,UK,12,Active,123.48
M00314,Urban Tech 314,Jewelry,Birmingham,England,UK,86,Active,723.29
M00315,Metro Travel 315,Restaurant,Hamburg,Hamburg,Germany,87,Active,55.84
M00316,Blue Pay 316,Marketplace,Mumbai,Maharashtra,India,4,Active,51.73
M00317,Nova Travel 317,Money Transfer,New York,New York,USA,95,Active,117.08
M00318,Apex Market 318,Grocery,Miami,Florida,USA,3,Active,136.93
M00319,Blue Pay 319,Marketplace,Berlin,Berlin,Germany,54,Active,206.6
M00320,Prime Foods 320,Healthcare,Miami,Florida,USA,92,Active,242.98
M00321,Quick Market 321,Money Transfer,Hamburg,Hamburg,Germany,47,Active,62.38
M00322,Prime Travel 322,Electronics,Hyderabad,Telangana,India,92,Active,83.15
M00323,Nova Pay 323,Grocery,Mumbai,Maharashtra,India,9,Active,217.83
M00324,Metro Services 324,Grocery,Chennai,Tamil Nadu,India,82,Active,12.84
M00325,Nova Market 325,Restaurant,Delhi,Delhi,India,89,Active,79.06
M00326,Prime Services 326,Travel,Houston,Texas,USA,14,Active,15.76
M00327,Nova Foods 327,Electronics,Berlin,Berlin,Germany,68,Active,114.36
M00328,Prime Travel 328,Healthcare,Liverpool,England,UK,71,Active,527.47
M00329,Apex Foods 329,Jewelry,Chennai,Tamil Nadu,India,16,Active,137.19
M00330,Urban Services 330,Fuel,Hyderabad,Telangana,India,68,Active,175.58
M00331,Urban Tech 331,Fashion,Munich,Bavaria,Germany,33,Active,267.39
M00332,Nova Tech 332,Grocery,Frankfurt,Hesse,Germany,46,Active,67.76
M00333,Apex Pay 333,Money Transfer,Bengaluru,Karnataka,India,50,Active,106.91
M00334,Global Travel 334,Gaming,New York,New York,USA,43,Active,52.88
M00335,Quick Travel 335,Electronics,Chennai,Tamil Nadu,India,15,Active,286.99
M00336,Blue Travel 336,Restaurant,Mumbai,Maharashtra,India,4,Active,301.96
M00337,Global Travel 337,Restaurant,Hamburg,Hamburg,Germany,82,Active,96.98
M00338,Blue Pay 338,Fashion,Bengaluru,Karnataka,India,97,Active,79.57
M00339,Global Travel 339,Grocery,Leeds,England,UK,86,Active,478.0
M00340,Prime Pay 340,Grocery,Chicago,Illinois,USA,68,Active,75.64
M00341,Global Foods 341,Crypto Exchange,Mumbai,Maharashtra,India,18,Active,66.79
M00342,Global Market 342,Crypto Exchange,Dallas,Texas,USA,60,Active,29.66
M00343,Global Pay 343,Healthcare,Birmingham,England,UK,81,Active,238.03
M00344,Apex Travel 344,Money Transfer,Delhi,Delhi,India,60,Active,418.13
M00345,Metro Foods 345,Fashion,Chicago,Illinois,USA,80,Active,142.2
M00346,Global Services 346,Fuel,Frankfurt,Hesse,Germany,51,Active,296.86
M00347,Blue Store 347,Crypto Exchange,Houston,Texas,USA,39,Active,147.82
