DeviceID,DeviceType,OperatingSystem,Browser,IPAddress,FirstSeenDate,LastSeenDate,TrustedDeviceFlag,RiskScore
D000059,Mobile,Windows,Chrome,IP-939.52.14.52,2023-10-06,2025-01-18,True,85
D000060,Mobile,Windows,Safari,IP-705.99.211.58,2022-02-27,2026-02-15,True,31
D000061,Laptop,macOS,Edge,IP-248.87.83.74,2021-03-19,2026-01-14,False,46
D000062,Mobile,iOS,Firefox,IP-821.47.84.70,2021-07-02,2025-02-16,False,91
D000063,Mobile,Windows,Chrome,IP-768.22.57.10,2022-06-02,2026-06-12,True,78
D000064,Desktop,iOS,Edge,IP-579.137.213.213,2022-02-05,2026-07-24,True,8
D000065,Desktop,Windows,Safari,IP-012.89.236.102,2022-03-03,2025-07-09,True,92
D000066,Tablet,iOS,Chrome,IP-164.176.240.244,2024-06-20,2025-05-01,True,71
D000067,Mobile,macOS,Edge,IP-093.120.34.97,2021-02-25,2025-01-31,False,61
D000068,Laptop,macOS,Chrome,IP-110.140.19.228,2022-06-02,2025-07-25,True,44
D000069,Laptop,iOS,Firefox,IP-770.95.203.124,2023-01-25,2025-04-21,True,63
D000070,Desktop,Android,Edge,IP-256.90.14.128,2024-10-29,2025-04-05,True,51
D000071,Desktop,iOS,Chrome,IP-599.27.135.140,2023-11-25,2026-01-12,True,40
D000072,Laptop,iOS,Firefox,IP-768.190.120.217,2022-02-16,2025-07-26,True,18
D000073,Mobile,Linux,Chrome,IP-462.148.117.121,2021-10-07,2025-09-23,True,87
D000074,Laptop,iOS,Safari,IP-111.45.82.85,2021-12-11,2025-11-06,True,48
D000075,Tablet,Linux,Edge,IP-320.69.100.88,2022-06-30,2026-06-04,False,95
D000076,Desktop,Android,Firefox,IP-659.83.34.107,2024-09-18,2025-03-11,True,82
D000077,Mobile,Linux,Firefox,IP-831.189.127.179,2021-06-27,2026-02-17,True,40
D000078,Tablet,Linux,Safari,IP-439.91.4.107,2022-10-28,2026-07-24,True,36
D000079,Tablet,Android,Firefox,IP-161.94.105.173,2024-01-12,2026-07-11,True,28
D000080,Mobile,macOS,Edge,IP-626.10.1.22,2021-04-26,2025-01-09,True,47
D000081,Laptop,Linux,Chrome,IP-610.145.11.102,2023-09-10,2025-04-03,True,37
D000082,Desktop,Linux,Firefox,IP-107.4.239.68,2024-05-25,2025-03-24,True,59
D000083,Mobile,Linux,Chrome,IP-410.182.7.9,2024-11-19,2026-01-16,True,2
D000084,Mobile,Android,Firefox,IP-897.126.2.137,2021-06-27,2025-12-21,True,60
D000085,Laptop,Android,Edge,IP-602.132.46.119,2024-06-10,2026-03-09,True,58
D000086,Desktop,Windows,Safari,IP-828.29.92.222,2023-04-07,2025-02-22,True,26
D000087,Mobile,Linux,Safari,IP-668.193.240.72,2021-02-22,2026-02-07,False,75
D000088,Desktop,Windows,Edge,IP-320.66.161.70,2021-07-15,2026-01-02,False,9
D000089,Laptop,macOS,Firefox,IP-501.107.229.29,2022-08-18,2025-05-12,True,97
D000090,Desktop,macOS,Firefox,IP-028.94.163.52,2025-03-23,2025-05-10,False,91
D000091,Mobile,Linux,Edge,IP-794.144.71.124,2024-02-21,2026-01-20,True,93
D000092,Laptop,iOS,Chrome,IP-758.76.254.224,2021-01-21,2025-08-18,True,49
D000093,Desktop,Windows,Safari,IP-073.72.177.183,2022-02-21,2025-08-10,False,78
D000094,Laptop,Linux,Firefox,IP-714.196.63.110,2022-08-27,2026-01-23,True,78
D000095,Desktop,macOS,Firefox,IP-901.98.175.9,2021-06-05,2026-03-22,True,63
D000096,Tablet,iOS,Chrome,IP-467.45.75.180,2024-09-21,2025-05-14,True,8
D000097,Mobile,Windows,Chrome,IP-754.122.173.207,2025-01-04,2026-06-27,True,26
D000098,Mobile,macOS,Chrome,IP-194.178.102.196,2023-09-13,2025-08-11,False,96
D000099,Mobile,iOS,Chrome,IP-371.108.159.234,2025-02-21,2025-10-12,True,92
D000100,Mobile,Linux,Firefox,IP-591.188.59.211,2025-01-05,2025-09-12,True,8
D000101,Desktop,Linux,Chrome,IP-960.118.6.159,2023-03-25,2025-10-05,False,26
D000102,Desktop,Linux,Chrome,IP-567.44.22.109,2024-12-18,2025-12-31,False,32
D000103,Desktop,iOS,Edge,IP-337.1.231.32,2021-09-14,2026-05-01,False,90
D000104,Laptop,Android,Firefox,IP-357.88.61.141,2025-07-14,2026-04-09,True,93
D000105,Desktop,Linux,Chrome,IP-823.62.87.139,2025-07-30,2026-04-26,True,56
D000106,Laptop,iOS,Safari,IP-112.155.254.25,2022-06-27,2026-07-06,True,56
D000107,Mobile,iOS,Chrome,IP-247.54.199.81,2023-09-02,2026-05-20,True,90
D000108,Mobile,Linux,Chrome,IP-739.208.20.138,2023-01-19,2026-07-08,True,50
D000109,Tablet,Linux,Edge,IP-497.36.152.92,2025-04-20,2025-01-27,True,11
D000110,Desktop,Windows,Safari,IP-441.68.204.128,2023-04-17,2026-06-05,True,99
D000111,Mobile,iOS,Chrome,IP-476.126.201.129,2021-04-07,2025-04-12,True,40
D000112,Desktop,Linux,Edge,IP-101.198.39.240,2023-06-08,2025-01-03,True,89
D000113,Mobile,Linux,Safari,IP-262.181.45.214,2025-04-18,2025-12-13,False,41
D000114,Mobile,Linux,Firefox,IP-368.43.5.121,2024-12-24,2025-05-05,False,35
D000115,Tablet,Windows,Firefox,IP-704.148.130.2,2023-02-05,2026-05-11,False,49
D000116,Laptop,Android,Chrome,IP-868.112.96.16,2025-01-05,2025-05-27,True,22
D000117,Desktop,iOS,Firefox,IP-433.90.253.83,2025-09-07,2025-10-23,True,73
D000118,Laptop,Linux,Chrome,IP-600.121.105.102,2024-01-26,2025-01-24,True,37
D000119,Tablet,iOS,Firefox,IP-443.46.202.151,2022-03-10,2026-06-21,True,25
D000120,Tablet,Android,Safari,IP-728.240.71.28,2023-03-18,2026-03-31,True,45
D000121,Desktop,Windows,Chrome,IP-066.39.142.102,2022-07-27,2025-11-14,True,82
D000122,Tablet,Android,Firefox,IP-217.135.124.12,2022-05-18,2026-07-31,True,36
D000123,Tablet,iOS,Chrome,IP-266.7.173.228,2022-10-09,2025-11-23,True,51
D000124,Desktop,macOS,Chrome,IP-594.3.199.240,2021-01-26,2025-08-28,True,68
D000125,Mobile,Android,Safari,IP-728.13.234.179,2022-05-05,2025-02-12,True,34
D000126,Laptop,macOS,Firefox,IP-724.95.37.222,2025-01-24,2026-01-11,True,78
D000127,Mobile,Linux,Safari,IP-435.45.109.17,2023-05-28,2026-01-13,True,51
D000128,Laptop,macOS,Chrome,IP-295.19.6.159,2024-03-30,2026-06-04,False,89
D000129,Tablet,iOS,Firefox,IP-803.9.77.68,2021-11-09,2026-05-15,True,81
D000130,Mobile,Windows,Edge,IP-066.87.149.76,2021-06-29,2025-01-08,False,5
D000131,Laptop,Linux,Firefox,IP-631.184.98.177,2025-10-23,2025-08-24,True,52
D000132,Tablet,Linux,Chrome,IP-657.221.231.71,2025-03-10,2026-03-07,True,78
D000133,Tablet,Linux,Firefox,IP-839.71.119.121,2023-04-28,2025-07-09,True,66
D000134,Mobile,Linux,Safari,IP-646.227.33.3,2025-06-09,2026-04-07,False,32
D000135,Mobile,iOS,Edge,IP-896.197.15.161,2022-02-05,2026-02-26,False,35
D000136,Laptop,macOS,Firefox,IP-187.219.250.204,2022-05-16,2025-01-07,True,59
D000137,Mobile,Linux,Chrome,IP-852.60.124.178,2023-04-06,2026-03-21,True,81
D000138,Tablet,macOS,Firefox,IP-874.158.160.206,2022-04-14,2025-06-18,True,29
D000139,Desktop,Linux,Chrome,IP-186.150.5.197,2025-11-14,2026-03-16,False,41
D000140,Tablet,Windows,Chrome,IP-763.155.22.201,2024-11-13,2026-06-21,True,87
D000141,Tablet,Windows,Firefox,IP-847.123.156.54,2022-02-04,2025-07-20,True,20
D000142,Mobile,Windows,Safari,IP-739.243.151.10,2023-07-24,2025-09-20,True,38
D000143,Laptop,Linux,Safari,IP-173.2.137.139,2025-07-14,2025-03-07,True,11
D000144,Laptop,iOS,Firefox,IP-727.79.165.136,2022-12-12,2026-05-27,False,79
D000145,Laptop,macOS,Chrome,IP-972.100.112.21,2022-09-21,2025-02-14,False,20
D000146,Tablet,Linux,Edge,IP-371.54.89.57,2021-06-02,2025-01-02,True,85
D000147,Desktop,iOS,Safari,IP-434.217.122.28,2024-12-22,2025-07-16,False,72
D000148,Desktop,macOS,Chrome,IP-060.225.203.11,2024-05-19,2026-04-06,True,62
D000149,Mobile,Windows,Chrome,IP-778.204.73.228,2022-07-03,2025-11-19,False,4
D000150,Tablet,Android,Safari,IP-996.98.203.223,2025-02-08,2025-02-02,True,14
D000151,Mobile,iOS,Safari,IP-205.247.252.63,2022-05-08,2025-03-01,True,71
D000152,Mobile,Android,Safari,IP-878.166.214.55,2025-02-01,2025-11-15,True,96
D000153,Laptop,Android,Chrome,IP-822.25.119.79,2025-09-15,2026-03-17,True,2
D000154,Mobile,iOS,Safari,IP-946.139.104.130,2025-05-17,2026-05-27,False,47
D000155,Laptop,Android,Edge,IP-315.50.204.62,2021-03-09,2026-06-12,True,21
D000156,Tablet,macOS,Edge,IP-447.40.221.71,2023-01-13,2025-10-19,True,83
D000157,Tablet,Windows,Firefox,IP-484.80.182.194,2024-08-15,2025-11-09,True,36
D000158,Mobile,Windows,Firefox,IP-773.86.242.127,2022-01-27,2025-06-13,False,59
D000159,Tablet,macOS,Firefox,IP-051.150.104.35,2022-08-04,2025-06-20,True,90
D000160,Tablet,iOS,Safari,IP-496.77.165.136,2022-11-24,2025-12-20,True,15
D000161,Mobile,iOS,Safari,IP-877.40.150.127,2021-05-13,2025-03-15,True,65
D000162,Tablet,Android,Safari,IP-205.56.1.253,2022-09-19,2026-06-09,True,90
D000163,Desktop,macOS,Edge,IP-038.76.142.211,2024-09-20,2026-02-04,True,86
D000164,Laptop,Android,Edge,IP-383.199.41.80,2023-08-30,2025-11-16,True,10
D000165,Laptop,Android,Safari,IP-902.52.195.6,2021-08-30,2025-02-27,False,93
D000166,Desktop,macOS,Chrome,IP-309.73.166.123,2023-10-20,2025-04-09,False,6
D000167,Tablet,Linux,Safari,IP-298.185.132.133,2024-12-01,2025-12-06,True,90
D000168,Laptop,macOS,Edge,IP-694.64.146.153,2022-10-20,2026-01-07,True,52
D000169,Mobile,Linux,Safari,IP-792.205.154.72,2022-11-15,2025-10-09,True,23
D000170,Desktop,Windows,Edge,IP-428.219.70.103,2022-05-14,2026-05-17,False,54
D000171,Desktop,Android,Safari,IP-834.103.154.28,2023-02-24,2025-12-26,True,73
D000172,Mobile,macOS,Chrome,IP-699.220.247.50,2023-07-12,2025-06-20,True,60
D000173,Desktop,iOS,Chrome,IP-920.235.178.138,2023-02-21,2025-09-15,True,9
D000174,Tablet,macOS,Safari,IP-338.166.154.13,2022-03-04,2025-08-15,False,12
D000175,Laptop,Android,Firefox,IP-634.202.165.253,2025-03-23,2025-09-29,True,38
D000176,Mobile,iOS,Firefox,IP-792.44.234.64,2022-12-30,2025-09-10,True,29
D000177,Desktop,Linux,Safari,IP-399.250.186.226,2024-02-08,2025-09-22,True,49
D000178,Laptop,macOS,Edge,IP-442.170.35.39,2023-03-29,2025-04-25,True,89
D000179,Desktop,Linux,Chrome,IP-434.20.7.75,2023-05-25,2025-06-10,True,3
D000180,Mobile,iOS,Firefox,IP-245.192.61.181,2025-04-21,2025-06-18,False,38
D000181,Mobile,iOS,Safari,IP-110.187.44.234,2022-07-12,2025-04-26,True,3
D000182,Mobile,macOS,Firefox,IP-986.228.151.244,2023-11-25,2025-03-08,True,5
D000183,Tablet,macOS,Safari,IP-418.50.199.118,2023-08-10,2025-12-30,True,4
D000184,Desktop,iOS,Firefox,IP-131.231.201.36,2025-09-17,2025-06-23,True,7
D000185,Desktop,Windows,Firefox,IP-107.217.99.182,2023-12-19,2025-02-19,True,10
D000186,Laptop,Android,Chrome,IP-024.69.167.62,2022-06-08,2025-08-22,True,8
D000187,Tablet,Android,Safari,IP-379.117.158.88,2025-05-25,2025-03-12,True,94
D000188,Laptop,Windows,Safari,IP-041.95.5.173,2021-09-20,2026-02-24,True,9
D000189,Desktop,Windows,Edge,IP-994.102.235.122,2021-09-20,2025-08-18,False,92
D000190,Laptop,macOS,Edge,IP-487.150.238.203,2021-12-18,2026-01-16,False,7
D000191,Mobile,Windows,Safari,IP-473.119.99.9,2025-12-25,2025-07-06,True,41
D000192,Desktop,Windows,Safari,IP-597.104.12.230,2022-11-15,2026-02-12,True,34
D000193,Laptop,macOS,Edge,IP-408.182.201.162,2024-07-01,2025-08-05,True,94
D000194,Tablet,Linux,Edge,IP-322.16.236.219,2024-08-29,2025-04-20,True,32
D000195,Mobile,Linux,Firefox,IP-748.57.170.161,2025-03-12,2026-01-21,False,25
D000196,Tablet,iOS,Chrome,IP-934.170.127.170,2025-10-20,2026-07-27,False,13
D000197,Mobile,macOS,Safari,IP-944.44.3.95,2024-01-09,2026-04-09,True,72
D000198,Mobile,Linux,Edge,IP-188.192.131.13,2024-06-07,2026-07-31,True,44
D000199,Desktop,Windows,Chrome,IP-592.151.210.45,2022-08-16,2026-05-23,True,45
D000200,Tablet,macOS,Chrome,IP-579.214.149.107,2021-09-10,2025-10-19,False,56
D000201,Tablet,Android,Chrome,IP-211.170.188.57,2025-04-21,2026-08-01,True,78
D000202,Mobile,Windows,Edge,IP-523.68.107.2,2021-02-03,2026-02-04,False,33
D000203,Laptop,Android,Firefox,IP-787.222.216.60,2024-06-23,2026-06-05,True,57
D000204,Mobile,Android,Edge,IP-531.85.75.241,2024-05-19,2025-10-27,True,51
D000205,Laptop,macOS,Safari,IP-622.198.40.169,2023-08-29,2025-04-03,True,72
D000206,Mobile,iOS,Chrome,IP-380.31.184.64,2021-07-03,2025-01-29,True,58
D000207,Desktop,macOS,Edge,IP-562.97.241.15,2021-01-17,2026-04-19,True,34
D000208,Tablet,Windows,Safari,IP-948.161.195.241,2024-12-17,2026-05-27,True,23
D000209,Mobile,Windows,Chrome,IP-310.203.192.86,2023-04-25,2025-12-29,True,76
D000210,Tablet,Linux,Edge,IP-514.222.252.58,2023-06-05,2025-06-22,True,24
D000211,Desktop,macOS,Edge,IP-798.122.234.82,2021-11-07,2025-09-03,True,19
D000212,Mobile,Android,Chrome,IP-809.76.83.207,2023-02-01,2025-04-30,True,1
D000213,Desktop,Windows,Edge,IP-858.133.114.224,2025-06-14,2025-10-16,False,5
D000214,Laptop,Windows,Safari,IP-345.30.26.70,2022-03-09,2026-05-26,False,82
D000215,Tablet,iOS,Safari,IP-164.181.94.51,2025-11-21,2025-07-07,False,14
D000216,Mobile,Android,Chrome,IP-473.55.76.200,2024-07-20,2026-05-09,False,8
D000217,Desktop,Windows,Firefox,IP-128.138.67.114,2021-07-17,2025-05-14,False,56
D000218,Tablet,Android,Firefox,IP-927.17.65.192,2021-10-23,2026-02-20,True,86
D000219,Desktop,Android,Edge,IP-699.59.117.103,2021-05-05,2025-10-06,True,66
D000220,Laptop,Windows,Chrome,IP-562.141.7.88,2022-05-15,2026-07-10,False,20
D000221,Mobile,iOS,Firefox,IP-763.152.147.148,2022-12-12,2025-11-23,True,74
D000222,Laptop,macOS,Firefox,IP-825.206.71.13,2025-02-12,2025-09-09,True,49
D000223,Tablet,Linux,Firefox,IP-206.175.175.126,2025-10-29,2026-04-25,True,10
D000224,Mobile,Android,Firefox,IP-690.139.10.231,2025-10-14,2025-12-09,False,20
D000225,Mobile,Linux,Firefox,IP-406.114.153.204,2025-04-12,2026-05-20,True,22
D000226,Tablet,Linux,Chrome,IP-157.185.149.5,2025-07-14,2025-05-15,True,99
D000227,Laptop,Windows,Edge,IP-231.150.98.98,2024-09-16,2025-10-15,False,59
D000228,Mobile,Android,Safari,IP-655.113.51.254,2021-06-03,2026-01-16,False,13
D000229,Mobile,Linux,Firefox,IP-990.69.212.105,2025-07-04,2025-06-07,True,68
D000230,Laptop,Linux,Edge,IP-123.247.44.20,2023-02-26,2026-05-28,False,68
D000231,Tablet,Windows,Firefox,IP-577.26.110.57,2023-04-04,2025-10-14,False,27
D000232,Mobile,iOS,Safari,IP-994.201.84.220,2023-05-22,2025-12-05,True,52
D000233,Mobile,Windows,Safari,IP-940.74.58.28,2025-12-23,2025-01-10,True,49
D000234,Laptop,Android,Safari,IP-537.115.73.81,2024-03-04,2025-02-08,True,83
D000235,Tablet,Linux,Safari,IP-303.158.223.254,2023-06-04,2025-02-15,True,23
D000236,Laptop,iOS,Chrome,IP-877.191.73.118,2023-01-19,2025-11-10,True,10
D000237,Desktop,Android,Firefox,IP-636.131.186.151,2021-12-25,2025-09-09,True,88
D000238,Mobile,macOS,Firefox,IP-127.232.137.151,2025-05-18,2026-03-08,True,52
D000239,Tablet,Windows,Chrome,IP-324.189.41.117,2023-12-20,2025-08-01,True,62
D000240,Tablet,Windows,Chrome,IP-140.101.194.170,2024-03-22,2026-07-31,False,88
D000241,Desktop,macOS,Firefox,IP-630.167.130.81,2025-03-30,2025-01-21,True,44
D000242,Desktop,macOS,Safari,IP-831.149.122.67,2025-04-12,2026-02-12,True,56
D000243,Desktop,Linux,Firefox,IP-701.233.86.216,2022-09-18,2025-08-18,True,92
D000244,Desktop,Windows,Firefox,IP-281.171.175.191,2023-09-02,2026-05-15,False,42
D000245,Desktop,Android,Safari,IP-854.136.18.180,2021-09-15,2025-04-05,True,55
D000246,Laptop,Windows,Chrome,IP-981.20.68.208,2024-03-07,2025-07-29,True,58
D000247,Laptop,Windows,Safari,IP-990.54.44.91,2021-11-24,2025-05-11,True,28
D000248,Tablet,Windows,Safari,IP-764.158.234.152,2024-07-12,2026-02-23,True,56
D000249,Mobile,Android,Chrome,IP-755.217.154.33,2021-01-27,2026-06-24,True,63
D000250,Desktop,Linux,Safari,IP-401.160.129.83,2024-02-09,2026-06-07,False,62
D000251,Tablet,Windows,Safari,IP-825.142.205.176,2024-12-25,2026-04-21,True,5
D000252,Mobile,macOS,Firefox,IP-452.113.144.61,2025-09-18,2025-07-23,False,66
D000253,Mobile,Windows,Edge,IP-103.166.173.135,2023-07-24,2025-10-28,True,67
D000254,Laptop,macOS,Firefox,IP-789.197.232.72,2024-05-18,2025-02-18,True,49
D000255,Tablet,macOS,Safari,IP-260.191.141.157,2025-03-02,2025-11-25,True,17
D000256,Laptop,macOS,Firefox,IP-970.71.147.157,2022-07-13,2026-07-28,False,74
D000257,Laptop,iOS,Edge,IP-440.213.196.13,2023-12-26,2025-10-28,True,86
D000258,Mobile,Linux,Firefox,IP-589.107.69.102,2024-08-04,2025-11-09,True,75
D000259,Tablet,Windows,Edge,IP-612.129.242.184,2023-12-28,2025-05-21,False,22
D000260,Mobile,Linux,Safari,IP-321.53.36.7,2025-03-25,2026-05-24,True,14
D000261,Desktop,Linux,Safari,IP-173.18.165.4,2022-10-16,2025-10-11,True,65
D000262,Laptop,Linux,Safari,IP-878.13.56.132,2025-12-08,2026-02-24,True,66
D000263,Tablet,iOS,Edge,IP-632.56.121.90,2025-04-14,2025-08-20,True,60
D000264,Desktop,Linux,Firefox,IP-134.42.84.169,2023-04-20,2025-03-30,True,37
D000265,Laptop,Windows,Edge,IP-421.156.171.145,2023-10-08,2025-05-24,False,20
D000266,Desktop,Linux,Edge,IP-086.211.252.192,2024-11-13,2026-06-02,False,44
D000267,Laptop,Android,Edge,IP-216.244.19.127,2024-09-06,2025-05-18,True,72
D000268,Desktop,Android,Safari,IP-723.214.66.151,2023-06-14,2025-04-04,True,7
D000269,Laptop,iOS,Chrome,IP-975.204.190.56,2023-11-09,2026-06-28,True,14
D000270,Tablet,macOS,Chrome,IP-119.236.162.163,2024-10-19,2025-10-26,True,54
D000271,Tablet,Android,Chrome,IP-384.22.200.164,2022-05-14,2026-01-02,True,78
D000272,Laptop,macOS,Firefox,IP-725.34.241.138,2022-09-15,2025-03-21,True,7
D000273,Mobile,Android,Safari,IP-231.227.179.34,2021-01-29,2026-07-22,True,41
D000274,Tablet,Linux,Chrome,IP-023.104.226.121,2024-05-07,2025-09-15,True,69
D000275,Tablet,macOS,Edge,IP-418.172.156.123,2022-03-06,2026-07-09,True,26
D000276,Laptop,Windows,Safari,IP-287.112.39.132,2023-06-14,2025-10-17,False,93
D000277,Tablet,Linux,Firefox,IP-617.93.118.126,2024-08-25,2026-01-12,False,48
D000278,Laptop,Android,Firefox,IP-912.207.5.246,2024-03-18,2025-05-07,False,56
D000279,Mobile,Android,Firefox,IP-091.32.21.83,2024-08-16,2026-04-20,False,3
D000280,Mobile,macOS,Firefox,IP-308.242.49.59,2024-07-21,2026-07-13,False,97
D000281,Laptop,Linux,Firefox,IP-101.41.91.243,2025-08-26,2025-11-16,True,81
D000282,Tablet,Windows,Edge,IP-271.236.169.118,2024-06-07,2025-02-17,True,95
D000283,Tablet,Android,Edge,IP-470.85.168.99,2025-01-09,2025-10-23,True,10
D000284,Laptop,Linux,Safari,IP-135.49.110.254,2022-06-20,2025-04-15,True,27
D000285,Laptop,iOS,Firefox,IP-129.158.236.195,2024-11-25,2026-07-15,True,17
D000286,Tablet,macOS,Chrome,IP-312.126.19.239,2023-05-22,2025-11-19,True,87
D000287,Desktop,Windows,Edge,IP-162.40.40.31,2024-10-03,2026-02-01,True,25
D000288,Desktop,Linux,Edge,IP-648.146.124.158,2023-07-26,2025-01-03,True,23
D000289,Mobile,macOS,Chrome,IP-573.95.181.107,2024-09-15,2025-12-04,True,32
D000290,Mobile,Windows,Edge,IP-354.197.93.144,2025-11-20,2025-01-05,True,82
D000291,Mobile,macOS,Edge,IP-950.64.33.78,2022-01-18,2026-05-12,False,82
D000292,Tablet,Linux,Firefox,IP-860.149.38.10,2021-10-25,2026-01-15,True,27
D000293,Mobile,iOS,Firefox,IP-396.82.186.19,2024-03-07,2026-03-08,True,80
D000294,Mobile,iOS,Chrome,IP-916.127.88.88,2021-12-04,2025-03-08,True,21
D000295,Mobile,macOS,Edge,IP-410.128.164.116,2021-04-05,2026-01-13,True,66
D000296,Desktop,Android,Firefox,IP-633.110.124.224,2024-11-05,2026-05-06,False,47
D000297,Desktop,Android,Edge,IP-944.162.28.80,2021-05-31,2025-07-22,False,94
D000298,Tablet,macOS,Edge,IP-632.124.91.100,2021-11-15,2026-03-26,False,69
D000299,Desktop,Windows,Firefox,IP-848.186.224.207,2023-02-11,2025-11-02,True,44
