AccountID,CustomerID,BankID,AccountType,Balance,AccountStatus,OpeningDate,BranchID,AverageMonthlyBalance,TransactionLimit,InternationalEnabled
AC0000022,C000022,7,Current,33103.78,Active,2025-10-23,B03010,7259.38,250000,True
AC0000023,C000023,6,Business,43722.07,Active,2020-10-22,B04003,6114.39,250000,False
AC0000024,C000024,1,Current,10389.64,Active,2023-10-04,B02002,17869.69,25000,False
AC0000025,C000025,8,Credit,1230.51,Active,2020-09-17,B10008,6512.48,250000,True
AC0000026,C000026,5,Business,188591.3,Active,2025-03-12,B09009,19079.73,25000,False
AC0000027,C000027,7,Current,857.44,Active,2025-11-26,B02002,19310.03,25000,True
AC0000028,C000028,9,Checking,10804.56,Active,2023-03-21,B05005,7706.19,50000,True
AC0000029,C000029,7,Current,19963.12,Active,2018-10-26,B06004,8773.33,25000,False
AC0000030,C000030,7,Current,6623.4,Active,2018-08-25,B06007,10402.04,100000,True
AC0000031,C000031,3,Business,52881.13,Active,2017-12-25,B06007,2517.96,250000,False
AC0000032,C000032,3,Business,11187.0,Active,2023-06-06,B04006,5337.24,100000,True
AC0000033,C000033,5,Checking,16141.98,Active,2016-12-08,B02006,7337.63,50000,False
AC0000034,C000034,9,Credit,10815.7,Active,2024-03-15,B01010,6100.77,100000,False
AC0000035,C000035,6,Savings,51315.49,Active,2017-01-24,B06003,8908.79,250000,False
AC0000036,C000036,4,Checking,5393.85,Active,2019-08-07,B05004,14196.28,100000,False
AC0000037,C000037,8,Credit,2798.95,Active,2025-06-12,B04003,15246.46,250000,True
AC0000038,C000038,9,Credit,5703.93,Active,2023-12-08,B08008,4302.23,50000,True
AC0000039,C000039,10,Credit,100872.29,Dormant,2024-06-19,B01004,4825.02,25000,True
AC0000040,C000040,3,Savings,7194.17,Active,2025-01-10,B06003,3025.77,50000,True
AC0000041,C000041,8,Checking,20717.21,Active,2025-03-26,B07001,2371.22,25000,True
AC0000042,C000042,6,Credit,5017.22,Active,2018-03-27,B03001,5432.39,50000,False
AC0000043,C000043,5,Credit,9929.26,Active,2022-03-17,B07008,7012.96,100000,True
AC0000044,C000044,4,Current,3090.3,Active,2017-09-13,B07006,7465.45,50000,True
AC0000045,C000045,2,Current,24273.88,Active,2017-03-29,B04005,2353.5,100000,True
AC0000046,C000046,3,Checking,11393.18,Active,2022-02-27,B07004,3013.33,250000,True
AC0000047,C000047,6,Savings,35117.0,Closed,2015-02-01,B07006,9143.35,25000,True
AC0000048,C000048,9,Credit,7041.25,Active,2024-02-14,B07008,12080.86,50000,False
AC0000049,C000049,9,Checking,5217.58,Dormant,2022-12-10,B03005,7867.87,100000,True
AC0000050,C000050,2,Business,1505.21,Active,2015-07-21,B04005,15364.15,25000,True
AC0000051,C000051,7,Savings,10484.58,Active,2020-02-07,B05007,20568.72,100000,True
AC0000052,C000052,1,Credit,3476.88,Active,2015-04-20,B04003,14048.03,100000,True
AC0000053,C000053,7,Checking,56028.66,Active,2025-10-23,B05004,9279.56,100000,False
AC0000054,C000054,4,Business,5213.85,Active,2021-08-18,B10009,12494.15,25000,True
AC0000055,C000055,5,Current,20730.28,Active,2017-03-25,B10006,14238.77,25000,True
AC0000056,C000056,8,Checking,9576.28,Active,2019-12-01,B03003,22090.8,100000,True
AC0000057,C000057,5,Checking,10546.05,Closed,2017-07-18,B01005,10552.44,250000,True
AC0000058,C000058,9,Current,2818.59,Active,2019-02-11,B04007,8309.06,100000,True
AC0000059,C000059,6,Current,13168.74,Active,2021-09-26,B08003,9489.41,250000,True
AC0000060,C000060,10,Credit,11865.47,Dormant,2018-03-15,B03006,16858.5,50000,True
AC0000061,C000061,7,Credit,17917.82,Active,2022-11-18,B10004,10978.15,25000,True
AC0000062,C000062,3,Credit,36499.71,Active,2018-01-22,B04009,7828.42,25000,True
AC0000063,C000063,8,Business,6451.87,Active,2018-04-19,B07002,2553.41,250000,False
AC0000064,C000064,5,Business,25921.35,Active,2024-09-04,B10006,3884.38,25000,False
AC0000065,C000065,6,Checking,3123.34,Active,2016-11-17,B07006,7329.38,50000,True
AC0000066,C000066,2,Current,5602.89,Active,2025-04-24,B09007,2640.01,50000,True
AC0000067,C000067,2,Credit,6251.91,Active,2015-11-03,B01005,7898.47,100000,True
AC0000068,C000068,6,Credit,6172.69,Active,2025-02-18,B03009,2492.26,50000,False
AC0000069,C000069,2,Business,3591.8,Active,2018-06-19,B01009,2138.39,50000,True
AC0000070,C000070,10,Checking,6459.91,Active,2024-09-02,B08009,8254.3,25000,False
AC0000071,C000071,9,Business,9003.04,Active,2015-12-09,B04001,8792.71,250000,True
AC0000072,C000072,8,Credit,5841.48,Active,2017-10-09,B08006,34372.1,50000,False
AC0000073,C000073,8,Current,24597.43,Active,2021-04-06,B04003,3962.7,50000,True
AC0000074,C000074,6,Business,25000.84,Active,2018-08-17,B07010,5864.3,100000,True
AC0000075,C000075,1,Business,43674.62,Active,2024-09-03,B02007,8213.96,100000,False
AC0000076,C000076,4,Checking,31889.44,Active,2018-04-01,B06005,1977.34,25000,True
AC0000077,C000077,5,Credit,40474.66,Active,2018-06-12,B07008,3910.34,50000,True
AC0000078,C000078,10,Current,8457.88,Active,2023-11-09,B06005,11901.91,250000,True
AC0000079,C000079,3,Credit,7348.26,Active,2018-04-02,B09001,7959.62,250000,True
AC0000080,C000080,5,Checking,13043.63,Dormant,2024-04-14,B09009,4626.72,25000,True
AC0000081,C000081,4,Checking,12404.22,Active,2018-01-19,B08003,5755.9,25000,True
AC0000082,C000082,2,Business,41427.43,Active,2018-12-27,B08005,13900.57,25000,False
AC0000083,C000083,2,Checking,12603.61,Active,2023-06-05,B08010,9323.3,250000,True
AC0000084,C000084,4,Checking,10337.88,Active,2022-09-29,B10004,17818.36,100000,True
AC0000085,C000085,1,Savings,11720.82,Active,2016-01-21,B10006,9199.57,25000,True
AC0000086,C000086,1,Checking,19022.36,Active,2016-10-05,B05004,19171.76,25000,False
AC0000087,C000087,4,Current,5669.29,Active,2018-06-27,B02006,15519.04,25000,True
AC0000088,C000088,3,Savings,26834.6,Active,2021-04-10,B05002,1817.58,25000,True
AC0000089,C000089,6,Checking,11527.63,Active,2022-02-28,B04005,3767.89,100000,True
AC0000090,C000090,1,Business,3779.91,Active,2024-11-12,B02010,11583.53,50000,True
AC0000091,C000091,4,Credit,8033.77,Active,2017-12-30,B02003,8780.05,50000,True
AC0000092,C000092,5,Business,13064.29,Active,2019-03-10,B09001,4041.34,250000,False
AC0000093,C000093,10,Credit,11781.73,Active,2019-04-29,B03009,5895.64,100000,False
AC0000094,C000094,7,Checking,13461.05,Active,2018-05-22,B07004,22184.33,250000,True
AC0000095,C000095,9,Savings,36536.78,Active,2021-04-24,B07008,14148.87,100000,True
AC0000096,C000096,4,Current,11800.62,Active,2019-03-04,B02004,1441.9,25000,False
AC0000097,C000097,5,Current,19783.62,Active,2018-06-25,B01003,5815.8,25000,False
AC0000098,C000098,5,Savings,108205.31,Active,2017-06-05,B07008,6335.67,50000,True
AC0000099,C000099,9,Current,3985.62,Active,2020-01-29,B06009,6891.7,50000,False
AC0000100,C000100,10,Business,48716.71,Active,2019-03-24,B06007,5333.03,100000,True
AC0000101,C000101,10,Savings,3625.92,Active,2017-08-11,B01004,4852.07,250000,False
AC0000102,C000102,8,Credit,27163.62,Active,2018-08-09,B02004,1352.06,100000,False
AC0000103,C000103,6,Credit,7192.84,Active,2020-08-04,B08009,3666.75,100000,True
AC0000104,C000104,6,Current,10756.71,Dormant,2018-08-04,B02007,2411.82,50000,True
AC0000105,C000105,10,Checking,12020.95,Active,2023-06-27,B01009,7317.7,100000,True
AC0000106,C000106,3,Current,4382.17,Active,2016-07-03,B02003,7963.59,25000,False
AC0000107,C000107,4,Savings,15265.88,Active,2023-03-29,B03002,15384.48,250000,True
AC0000108,C000108,9,Checking,3253.62,Active,2024-05-14,B05001,7861.7,250000,False
AC0000109,C000109,4,Checking,35574.02,Active,2017-03-16,B08003,11405.42,100000,True
AC0000110,C000110,3,Savings,10514.13,Active,2022-07-28,B01008,6323.9,25000,False
AC0000111,C000111,6,Credit,45827.12,Dormant,2020-05-28,B01002,19918.19,100000,True
AC0000112,C000112,4,Savings,19523.81,Active,2015-04-27,B05009,5887.55,100000,True
AC0000113,C000113,9,Business,1864.76,Active,2025-12-08,B03004,8000.95,250000,True
AC0000114,C000114,10,Savings,12301.04,Active,2016-02-27,B08007,1572.64,50000,True
AC0000115,C000115,4,Current,11252.93,Active,2024-05-30,B03005,2708.9,100000,True
AC0000116,C000116,6,Business,17951.04,Active,2025-05-31,B03005,7700.79,100000,True
AC0000117,C000117,10,Credit,7990.22,Dormant,2021-02-28,B04010,2732.95,50000,True
AC0000118,C000118,8,Current,27239.82,Active,2016-12-22,B08006,3179.23,50000,True
AC0000119,C000119,3,Credit,25677.2,Active,2015-04-15,B02002,10562.35,100000,False
AC0000120,C000120,6,Checking,4407.88,Active,2025-08-03,B05001,3815.46,250000,False
AC0000121,C000121,7,Current,3846.81,Active,2015-05-05,B01010,3413.41,250000,True
AC0000122,C000122,7,Business,20271.46,Dormant,2017-10-06,B06005,31268.53,100000,True
AC0000123,C000123,1,Business,45276.84,Active,2022-09-11,B03009,2467.49,50000,True
AC0000124,C000124,3,Current,6655.51,Active,2022-09-10,B09002,12645.33,50000,True
AC0000125,C000125,9,Credit,6063.06,Active,2015-10-06,B07005,4014.4,100000,True
AC0000126,C000126,3,Savings,8127.5,Active,2024-11-23,B09006,4939.77,50000,True
AC0000127,C000127,3,Business,21257.37,Active,2024-11-15,B06010,12747.3,250000,False
AC0000128,C000128,4,Current,32635.83,Active,2019-08-04,B01010,3957.16,25000,True
AC0000129,C000129,2,Checking,26838.69,Active,2017-02-08,B01007,4192.72,100000,True
AC0000130,C000130,2,Checking,13247.61,Active,2022-06-07,B06005,4820.47,250000,True
AC0000131,C000131,4,Business,903.67,Active,2022-10-22,B10005,16783.55,25000,True
AC0000132,C000132,9,Current,13060.69,Active,2015-12-16,B02005,10250.13,50000,True
AC0000133,C000133,1,Business,5783.35,Active,2018-06-03,B02001,11930.07,50000,True
AC0000134,C000134,3,Credit,3676.97,Active,2015-03-03,B01007,20453.26,50000,True
AC0000135,C000135,1,Current,7589.47,Active,2023-10-03,B08005,6423.47,25000,False
AC0000136,C000136,6,Savings,6500.66,Active,2021-09-07,B03005,8080.33,250000,True
AC0000137,C000137,3,Checking,10577.88,Active,2019-09-28,B01003,8837.77,25000,True
AC0000138,C000138,8,Savings,39493.59,Active,2015-06-16,B09006,2229.83,250000,False
AC0000139,C000139,6,Savings,8697.48,Active,2016-07-23,B07009,4477.82,100000,True
AC0000140,C000140,8,Credit,36058.39,Dormant,2019-11-26,B06003,3579.87,50000,True
AC0000141,C000141,7,Checking,48586.34,Active,2025-01-23,B08002,10189.66,50000,False
AC0000142,C000142,5,Credit,74609.05,Active,2025-01-04,B03003,5652.31,250000,False
AC0000143,C000143,9,Business,15202.23,Active,2023-02-27,B06008,23280.23,100000,False
AC0000144,C000144,5,Current,15836.47,Dormant,2022-05-31,B02006,12799.61,100000,True
AC0000145,C000145,10,Current,28077.56,Dormant,2021-08-31,B03010,12919.03,250000,False
AC0000146,C000146,10,Checking,4646.97,Active,2023-05-10,B06008,10676.38,250000,False
AC0000147,C000147,6,Credit,6252.25,Active,2015-06-27,B02004,7403.55,25000,False
AC0000148,C000148,7,Current,20989.29,Active,2024-04-08,B01009,18851.59,250000,True
AC0000149,C000149,3,Credit,50794.34,Active,2017-09-30,B06008,4049.44,250000,True
AC0000150,C000150,9,Business,23829.53,Active,2019-09-22,B05001,3053.07,100000,True
AC0000151,C000151,7,Credit,22077.76,Active,2023-07-24,B05004,10065.3,100000,False
AC0000152,C000152,10,Current,16288.55,Active,2020-02-13,B10003,7180.29,25000,True
AC0000153,C000153,3,Business,48388.75,Active,2016-01-21,B03008,4097.04,25000,False
AC0000154,C000154,8,Business,21690.62,Active,2020-02-11,B09010,22145.78,100000,True
AC0000155,C000155,5,Current,18140.46,Active,2023-09-26,B08003,23710.97,250000,True
AC0000156,C000156,2,Credit,10832.24,Active,2023-10-27,B03005,19826.54,100000,False
AC0000157,C000157,2,Business,2866.98,Active,2024-04-23,B05010,5104.9,250000,True
AC0000158,C000158,6,Current,684.98,Dormant,2015-08-25,B10010,7147.03,100000,True
AC0000159,C000159,4,Savings,2167.21,Active,2024-02-24,B03006,16856.43,25000,False
AC0000160,C000160,2,Savings,26248.96,Dormant,2015-11-12,B07008,9348.02,250000,False
AC0000161,C000161,5,Savings,37528.9,Active,2022-02-23,B03002,6691.84,250000,True
AC0000162,C000162,7,Credit,2813.79,Active,2022-01-30,B07007,14212.13,250000,True
AC0000163,C000163,4,Savings,10596.3,Closed,2020-05-21,B10007,8586.38,50000,False
AC0000164,C000164,10,Business,19942.82,Active,2017-11-06,B06002,2449.43,25000,True
AC0000165,C000165,8,Savings,14769.92,Active,2022-04-10,B04007,40937.15,250000,True
AC0000166,C000166,6,Checking,8250.23,Active,2018-09-17,B02005,5657.77,25000,True
AC0000167,C000167,10,Checking,7529.51,Active,2020-07-20,B06006,2085.93,100000,True
AC0000168,C000168,5,Credit,39108.36,Active,2023-10-31,B10005,14020.08,50000,False
AC0000169,C000169,2,Checking,28882.33,Active,2021-04-07,B03010,5089.14,25000,False
AC0000170,C000170,1,Current,2556.34,Active,2019-04-29,B09002,5815.19,250000,False
AC0000171,C000171,10,Savings,32760.04,Active,2019-01-28,B01009,11755.74,250000,True
AC0000172,C000172,10,Business,6425.52,Active,2015-11-03,B03009,12247.05,250000,False
AC0000173,C000173,8,Credit,7884.14,Closed,2016-07-12,B10010,5416.9,250000,True
AC0000174,C000174,2,Current,21581.49,Active,2019-05-14,B08006,8154.68,250000,True
AC0000175,C000175,3,Credit,15723.36,Active,2018-01-27,B02009,6968.47,50000,True
AC0000176,C000176,1,Savings,30800.1,Active,2020-10-27,B07007,12337.26,100000,True
AC0000177,C000177,1,Current,7462.06,Active,2023-10-22,B04002,7212.05,100000,True
AC0000178,C000178,3,Checking,77838.49,Active,2016-09-28,B08008,4158.05,25000,False
AC0000179,C000179,6,Checking,4311.63,Active,2021-03-30,B05003,4432.13,25000,False
AC0000180,C000180,1,Checking,7854.08,Active,2018-09-20,B06001,11605.45,25000,True
AC0000181,C000181,10,Checking,12376.26,Active,2024-12-23,B06010,3768.79,25000,False
AC0000182,C000182,5,Business,18883.69,Active,2023-07-19,B10002,5256.04,100000,False
AC0000183,C000183,3,Business,22176.77,Active,2018-12-21,B04002,10740.66,50000,True
AC0000184,C000184,6,Checking,33007.6,Active,2016-10-15,B03003,15077.19,25000,False
AC0000185,C000185,8,Credit,32033.73,Active,2017-06-27,B08007,5499.54,250000,True
AC0000186,C000186,4,Current,11402.2,Active,2017-01-08,B05004,16265.26,100000,True
AC0000187,C000187,1,Credit,9357.24,Active,2017-12-17,B05009,34627.2,250000,False
AC0000188,C000188,1,Checking,13458.99,Active,2021-01-01,B10008,18912.13,100000,True
AC0000189,C000189,9,Savings,9542.51,Active,2022-07-17,B01006,8042.67,25000,False
AC0000190,C000190,2,Credit,51389.88,Active,2024-09-17,B06009,3796.41,250000,True
AC0000191,C000191,7,Current,17431.81,Active,2019-01-07,B08003,1884.66,50000,True
AC0000192,C000192,4,Business,15762.81,Active,2025-10-20,B06009,6133.72,250000,True
AC0000193,C000193,8,Current,3363.39,Active,2021-10-06,B01001,22970.97,50000,True
AC0000194,C000194,1,Credit,17065.25,Active,2022-03-23,B05002,3974.08,100000,True
AC0000195,C000195,9,Credit,12630.86,Active,2019-09-28,B05009,1318.97,250000,False
AC0000196,C000196,7,Savings,4642.26,Dormant,2022-11-08,B01006,23799.53,250000,True
AC0000197,C000197,5,Checking,1468.15,Active,2022-05-03,B01006,9440.3,25000,True
AC0000198,C000198,3,Checking,10406.34,Active,2024-02-02,B04002,9385.45,25000,True
AC0000199,C000199,10,Savings,8945.1,Active,2018-02-05,B02001,1439.05,25000,True
AC0000200,C000200,4,Savings,17443.36,Active,2025-10-04,B10007,4773.15,250000,True
AC0000201,C000201,5,Checking,41049.9,Active,2019-11-25,B08006,22439.01,100000,True
AC0000202,C000202,4,Business,13667.17,Active,2023-11-08,B02008,37138.08,100000,True
AC0000203,C000203,3,Checking,2139.99,Active,2025-08-10,B08002,11102.63,250000,True
AC0000204,C000204,5,Checking,18828.44,Active,2020-05-08,B06004,5446.82,50000,False
AC0000205,C000205,2,Credit,15252.7,Active,2024-06-22,B10004,11553.35,100000,True
AC0000206,C000206,1,Savings,5420.19,Active,2019-11-11,B07001,20501.96,100000,True
AC0000207,C000207,3,Credit,8954.36,Active,2021-03-02,B02001,42746.12,250000,False
AC0000208,C000208,2,Current,32292.41,Active,2019-07-28,B02001,8674.72,50000,True
AC0000209,C000209,5,Business,4644.61,Dormant,2020-03-23,B06002,6578.29,50000,True
AC0000210,C000210,9,Savings,8843.03,Active,2017-01-26,B09002,2980.59,250000,True
AC0000211,C000211,2,Business,2952.28,Active,2025-08-02,B08008,22542.29,250000,True
AC0000212,C000212,1,Credit,22931.85,Active,2024-07-16,B10006,7603.16,250000,True
AC0000213,C000213,2,Current,9291.1,Active,2022-08-18,B06002,9198.5,100000,True
AC0000214,C000214,6,Savings,15109.34,Active,2020-03-14,B04008,18958.45,25000,True
AC0000215,C000215,3,Checking,9239.87,Active,2021-08-10,B01006,8301.76,25000,True
AC0000216,C000216,5,Checking,11855.39,Closed,2023-01-27,B04006,4592.07,50000,False
AC0000217,C000217,1,Credit,83492.6,Active,2024-04-16,B04006,16347.99,100000,True
AC0000218,C000218,4,Business,9232.56,Active,2016-01-31,B05007,23873.87,50000,True
AC0000219,C000219,5,Savings,11117.89,Closed,2015-08-19,B09010,3225.97,250000,False
AC0000220,C000220,5,Checking,20166.63,Dormant,2016-02-22,B01010,4731.61,50000,True
AC0000221,C000221,6,Savings,1723.45,Active,2019-02-16,B04001,19035.93,100000,True
AC0000222,C000222,8,Business,31728.58,Active,2025-01-05,B07002,11426.64,250000,True
AC0000223,C000223,5,Business,3940.03,Active,2018-08-30,B07009,8147.27,25000,False
AC0000224,C000224,9,Current,5306.02,Active,2024-10-05,B02003,12807.64,25000,False
AC0000225,C000225,6,Current,33880.69,Active,2015-10-05,B03004,11123.71,25000,False
AC0000226,C000226,3,Current,29734.0,Active,2018-02-18,B09001,12615.98,25000,False
AC0000227,C000227,3,Business,8232.92,Active,2022-11-12,B06008,12448.86,100000,True
AC0000228,C000228,4,Credit,15931.48,Active,2020-05-13,B02008,6768.42,250000,True
AC0000229,C000229,6,Business,8662.18,Active,2019-04-02,B02007,3220.6,250000,True
AC0000230,C000230,3,Checking,24454.35,Active,2016-03-21,B05010,2220.52,100000,False
AC0000231,C000231,10,Current,165065.6,Active,2018-05-04,B09010,8795.4,25000,False
AC0000232,C000232,5,Current,12591.05,Active,2015-06-02,B07007,17793.16,25000,True
AC0000233,C000233,9,Current,20583.61,Dormant,2018-01-17,B05005,10167.76,50000,False
AC0000234,C000234,7,Business,17775.74,Active,2020-08-27,B09006,4724.47,100000,True
AC0000235,C000235,4,Savings,18150.91,Active,2018-05-02,B04009,5141.01,250000,False
AC0000236,C000236,3,Savings,7977.94,Active,2025-09-11,B05002,6579.33,25000,True
AC0000237,C000237,8,Current,6147.53,Active,2017-07-19,B07003,11397.83,50000,True
AC0000238,C000238,4,Business,40904.93,Active,2017-06-30,B09010,5446.37,50000,True
AC0000239,C000239,3,Savings,6366.56,Active,2017-09-06,B10001,6241.03,100000,False
AC0000240,C000240,10,Credit,2253.92,Active,2018-07-09,B08005,22300.7,250000,True
AC0000241,C000241,5,Checking,40413.58,Active,2023-09-16,B01007,8582.09,25000,False
AC0000242,C000242,1,Credit,24565.85,Active,2019-07-17,B10003,13545.04,250000,False
AC0000243,C000243,5,Credit,38671.37,Active,2019-11-29,B01004,6583.12,25000,False
AC0000244,C000244,5,Savings,7458.99,Active,2024-03-09,B02009,3390.1,100000,False
AC0000245,C000245,9,Current,1702.69,Active,2016-07-12,B08010,5866.2,25000,True
AC0000246,C000246,8,Checking,23010.48,Active,2022-02-24,B03002,15758.44,50000,True
AC0000247,C000247,2,Current,1070.79,Active,2015-11-06,B01001,7534.42,100000,True
AC0000248,C000248,2,Savings,4192.41,Active,2025-01-15,B10002,4304.88,250000,False
AC0000249,C000249,7,Checking,8220.96,Active,2024-01-04,B03009,10329.45,25000,True
AC0000250,C000250,1,Current,19141.83,Active,2024-03-12,B03004,6493.72,100000,True
AC0000251,C000251,4,Savings,3380.76,Active,2023-05-27,B09002,10440.75,25000,True
AC0000252,C000252,2,Credit,76801.0,Active,2019-08-21,B03009,3403.0,250000,False
AC0000253,C000253,1,Savings,9917.87,Dormant,2025-10-25,B02005,5313.97,25000,False
AC0000254,C000254,10,Credit,22883.46,Dormant,2022-05-05,B03009,4415.6,250000,False
AC0000255,C000255,1,Business,34750.26,Active,2017-03-01,B07009,3239.18,100000,True
AC0000256,C000256,1,Current,11135.71,Active,2023-01-07,B05008,3998.15,25000,False
AC0000257,C000257,10,Savings,8995.93,Active,2016-03-28,B08007,8991.25,50000,True
AC0000258,C000258,2,Current,25083.74,Active,2017-03-20,B04009,6854.63,100000,True
AC0000259,C000259,9,Business,11188.12,Active,2025-06-13,B05010,14762.46,25000,True
AC0000260,C000260,1,Business,43445.75,Active,2020-09-10,B04002,18376.69,100000,True
AC0000261,C000261,2,Savings,6987.43,Active,2018-04-28,B04001,4367.47,100000,True
AC0000262,C000262,2,Checking,19941.61,Active,2017-05-29,B02006,6759.62,50000,True
AC0000263,C000263,8,Credit,2024.56,Active,2015-09-27,B07004,5356.93,100000,True
AC0000264,C000264,7,Business,27487.78,Active,2022-03-19,B02005,4561.56,100000,True
AC0000265,C000265,5,Business,1766.01,Active,2020-08-07,B09003,22741.59,50000,True
AC0000266,C000266,3,Current,44332.83,Dormant,2017-11-29,B02008,3492.44,100000,False
AC0000267,C000267,1,Business,6791.95,Active,2017-05-05,B02006,2982.53,25000,True
AC0000268,C000268,6,Current,176382.76,Active,2016-04-04,B05010,4208.49,100000,True
AC0000269,C000269,3,Savings,15606.42,Active,2017-05-16,B03009,13788.11,25000,False
AC0000270,C000270,6,Current,18215.53,Active,2017-03-30,B01005,7123.66,100000,True
AC0000271,C000271,7,Business,12950.13,Active,2018-12-04,B08007,14320.37,25000,True
AC0000272,C000272,9,Savings,6861.91,Active,2023-10-19,B07001,6361.48,25000,False
AC0000273,C000273,5,Savings,42868.66,Active,2016-06-07,B10005,3736.6,25000,False
AC0000274,C000274,1,Checking,3941.96,Active,2015-04-03,B05002,7121.13,25000,True
AC0000275,C000275,3,Credit,65477.05,Active,2023-05-25,B06007,9086.79,50000,False
AC0000276,C000276,9,Current,7143.37,Active,2018-01-16,B01010,4758.17,100000,True
AC0000277,C000277,6,Savings,7697.74,Active,2019-06-08,B04005,9314.65,100000,True
AC0000278,C000278,7,Savings,11211.94,Active,2025-12-28,B08006,5685.56,250000,True
AC0000279,C000279,5,Savings,35491.35,Active,2019-10-11,B01006,6326.22,50000,True
AC0000280,C000280,2,Business,20535.24,Active,2024-07-27,B03006,4185.49,100000,False
AC0000281,C000281,9,Savings,2780.22,Active,2017-09-21,B02006,14547.85,250000,True
AC0000282,C000282,8,Credit,19539.33,Active,2020-03-29,B06001,21115.51,100000,True
AC0000283,C000283,10,Current,10378.69,Active,2021-03-30,B01001,3454.55,250000,True
AC0000284,C000284,9,Checking,18345.8,Active,2018-10-28,B07003,7626.54,100000,True
AC0000285,C000285,3,Savings,3989.02,Active,2022-09-05,B10005,2837.87,100000,True
AC0000286,C000286,3,Checking,32050.71,Active,2024-08-03,B08004,5590.83,100000,False
AC0000287,C000287,3,Credit,8411.84,Active,2022-09-28,B07007,13091.56,25000,True
AC0000288,C000288,10,Business,2950.91,Active,2016-05-21,B03003,17484.26,250000,True
AC0000289,C000289,6,Credit,15356.42,Active,2023-06-21,B08004,9248.31,100000,True
AC0000290,C000290,5,Credit,20255.43,Active,2017-09-26,B10002,4835.25,250000,False
AC0000291,C000291,10,Savings,2939.08,Active,2019-05-14,B03009,4863.14,50000,False
AC0000292,C000292,7,Current,22136.4,Active,2021-05-28,B10004,8701.83,100000,True
AC0000293,C000293,10,Business,15501.14,Active,2016-01-12,B03007,4568.4,25000,True
AC0000294,C000294,10,Credit,5273.54,Active,2025-11-12,B07001,9731.81,50000,False
AC0000295,C000295,1,Credit,3515.06,Active,2020-02-28,B09001,19355.45,100000,True
AC0000296,C000296,4,Credit,35297.18,Active,2016-05-26,B04005,2248.88,25000,False
AC0000297,C000297,8,Credit,10152.24,Active,2023-02-21,B02003,3752.23,25000,True
AC0000298,C000298,9,Credit,90293.07,Active,2015-05-26,B04003,9925.28,50000,True
AC0000299,C000299,2,Checking,120586.9,Active,2024-04-05,B05004,5084.13,250000,True
AC0000300,C000300,4,Business,4509.08,Active,2020-08-12,B09002,2702.93,100000,True
AC0000301,C000301,6,Current,7715.59,Active,2023-10-22,B05004,15406.78,25000,False
AC0000302,C000302,8,Business,20740.72,Active,2015-05-08,B10001,3852.46,250000,False
AC0000303,C000303,2,Checking,5398.96,Active,2020-04-20,B08004,4877.72,50000,False
AC0000304,C000304,7,Checking,2055.76,Active,2020-02-03,B09005,10710.47,250000,True
AC0000305,C000305,3,Credit,54840.09,Active,2019-06-19,B10004,8113.93,100000,True
AC0000306,C000306,3,Checking,9204.86,Active,2018-09-10,B04007,6096.37,100000,True
AC0000307,C000307,6,Business,8712.54,Active,2015-03-05,B05001,4992.12,50000,True
AC0000308,C000308,5,Checking,5799.6,Active,2025-08-11,B03004,4841.11,100000,True
AC0000309,C000309,7,Savings,24044.74,Active,2015-05-16,B03007,8832.58,100000,True
