CardID,CustomerID,AccountID,BankID,CardType,CardNetwork,CardCategory,IssueDate,ExpiryDate,CardStatus,BlockedFlag,BlockReason
CD0000030,C000030,AC0005030,7,Debit,Mastercard,Platinum,2022-07-16,2029-02-14,Active,0,
CD0000031,C000031,AC0000031,3,Credit,Mastercard,Platinum,2024-12-25,2029-02-05,Active,0,
CD0000032,C000032,AC0005032,3,Credit,Mastercard,Gold,2023-09-15,2027-12-26,Blocked,1,Excessive Attempts
CD0000033,C000033,AC0000033,5,Credit,Mastercard,Gold,2023-06-28,2028-11-07,Blocked,1,Security Block
CD0000034,C000034,AC0005034,9,Debit,Mastercard,Gold,2020-11-12,2026-08-01,Active,0,
CD0000035,C000035,AC0000035,6,Debit,Mastercard,Business,2021-01-10,2026-02-02,Blocked,1,Lost/Stolen
CD0000036,C000036,AC0005036,4,Credit,Mastercard,Business,2020-10-14,2028-06-05,Blocked,1,Security Block
CD0000037,C000037,AC0000037,8,Debit,Visa,Gold,2018-11-06,2027-02-21,Blocked,1,Fraud Suspected
CD0000038,C000038,AC0005038,9,Credit,Mastercard,Platinum,2021-05-17,2030-05-18,Active,0,
CD0000039,C000039,AC0000039,10,Debit,Mastercard,Platinum,2021-11-23,2029-10-01,Blocked,1,Security Block
CD0000040,C000040,AC0005040,3,Credit,Visa,Business,2024-09-02,2030-09-02,Active,0,
CD0000041,C000041,AC0000041,8,Credit,Mastercard,Business,2021-10-15,2028-08-11,Active,0,
CD0000042,C000042,AC0005042,6,Debit,Mastercard,Standard,2019-11-17,2028-05-12,Blocked,1,Security Block
CD0000043,C000043,AC0000043,5,Debit,Visa,Platinum,2025-07-30,2026-06-06,Blocked,1,Security Block
CD0000044,C000044,AC0005044,4,Debit,Mastercard,Business,2020-03-30,2027-06-30,Blocked,1,Fraud Suspected
CD0000045,C000045,AC0000045,2,Debit,Visa,Business,2019-01-02,2026-01-21,Active,0,
CD0000046,C000046,AC0005046,3,Credit,Visa,Business,2022-06-27,2029-05-23,Active,0,
CD0000047,C000047,AC0000047,6,Debit,Mastercard,Business,2023-07-28,2027-07-31,Blocked,1,Security Block
CD0000048,C000048,AC0005048,9,Credit,Mastercard,Gold,2025-11-23,2030-09-11,Active,0,
CD0000049,C000049,AC0000049,9,Debit,Mastercard,Business,2019-11-30,2027-04-29,Active,0,
CD0000050,C000050,AC0005050,2,Credit,Visa,Platinum,2022-09-21,2027-02-01,Active,0,
CD0000051,C000051,AC0000051,7,Credit,Visa,Standard,2024-11-25,2029-06-21,Active,0,
CD0000052,C000052,AC0005052,1,Debit,Amex,Business,2021-08-26,2029-04-03,Active,0,
CD0000053,C000053,AC0000053,7,Credit,Mastercard,Platinum,2024-09-18,2026-08-12,Active,0,
CD0000054,C000054,AC0005054,4,Debit,Mastercard,Standard,2023-10-26,2027-05-05,Active,0,
CD0000055,C000055,AC0000055,5,Debit,Visa,Gold,2019-08-28,2028-02-16,Active,0,
CD0000056,C000056,AC0005056,8,Credit,Mastercard,Gold,2019-10-07,2026-05-17,Active,0,
CD0000057,C000057,AC0000057,5,Credit,Mastercard,Business,2021-03-27,2028-05-26,Active,0,
CD0000058,C000058,AC0005058,9,Debit,Visa,Standard,2021-07-28,2026-08-24,Active,0,
CD0000059,C000059,AC0000059,6,Debit,Mastercard,Gold,2024-02-25,2027-05-17,Active,0,
CD0000060,C000060,AC0005060,10,Debit,Mastercard,Platinum,2025-01-27,2029-08-24,Active,0,
CD0000061,C000061,AC0000061,7,Credit,Visa,Business,2025-06-10,2028-03-08,Expired,0,
CD0000062,C000062,AC0005062,3,Debit,Visa,Platinum,2021-10-07,2028-06-13,Active,0,
CD0000063,C000063,AC0000063,8,Credit,Mastercard,Gold,2018-01-09,2026-01-12,Blocked,1,Security Block
CD0000064,C000064,AC0005064,5,Debit,Visa,Business,2020-09-04,2027-02-12,Active,0,
CD0000065,C000065,AC0000065,6,Debit,Mastercard,Platinum,2024-09-12,2026-01-07,Active,0,
CD0000066,C000066,AC0005066,2,Debit,Mastercard,Platinum,2020-07-07,2029-02-25,Active,0,
CD0000067,C000067,AC0000067,2,Debit,Mastercard,Platinum,2024-04-03,2030-08-04,Blocked,1,Security Block
CD0000068,C000068,AC0005068,6,Credit,Amex,Platinum,2019-10-20,2028-07-29,Blocked,1,Fraud Suspected
CD0000069,C000069,AC0000069,2,Debit,Mastercard,Business,2019-06-08,2029-07-15,Active,0,
CD0000070,C000070,AC0005070,10,Debit,Visa,Standard,2023-07-26,2030-04-14,Active,0,
CD0000071,C000071,AC0000071,9,Debit,Mastercard,Gold,2019-11-24,2028-11-09,Active,0,
CD0000072,C000072,AC0005072,8,Debit,Visa,Standard,2022-11-19,2027-02-26,Active,0,
CD0000073,C000073,AC0000073,8,Credit,Visa,Platinum,2020-08-08,2029-03-04,Active,0,
CD0000074,C000074,AC0005074,6,Debit,Mastercard,Standard,2021-08-09,2029-03-12,Active,0,
CD0000075,C000075,AC0000075,1,Credit,Visa,Gold,2020-12-03,2026-06-13,Active,0,
CD0000076,C000076,AC0005076,4,Debit,Visa,Standard,2019-07-07,2028-07-04,Active,0,
CD0000077,C000077,AC0000077,5,Debit,Visa,Gold,2024-08-15,2026-10-19,Active,0,
CD0000078,C000078,AC0005078,10,Debit,Visa,Gold,2021-09-26,2030-01-15,Blocked,1,Security Block
CD0000079,C000079,AC0000079,3,Debit,Mastercard,Business,2021-06-11,2029-10-06,Blocked,1,Security Block
CD0000080,C000080,AC0005080,5,Credit,Visa,Gold,2024-08-10,2030-01-18,Active,0,
CD0000081,C000081,AC0000081,4,Credit,Mastercard,Platinum,2025-08-12,2029-06-19,Active,0,
CD0000082,C000082,AC0005082,2,Credit,Visa,Gold,2018-02-09,2030-01-30,Active,0,
CD0000083,C000083,AC0000083,2,Credit,Mastercard,Gold,2025-02-28,2026-01-02,Active,0,
CD0000084,C000084,AC0005084,4,Debit,Visa,Gold,2025-11-21,2030-08-26,Active,0,
CD0000085,C000085,AC0000085,1,Debit,Visa,Standard,2020-04-24,2027-03-29,Active,0,
CD0000086,C000086,AC0005086,1,Debit,Visa,Business,2019-02-01,2028-01-19,Active,0,
CD0000087,C000087,AC0000087,4,Debit,Mastercard,Business,2025-05-05,2028-09-19,Active,0,
CD0000088,C000088,AC0005088,3,Debit,Amex,Standard,2024-09-06,2028-08-28,Blocked,1,Security Block
CD0000089,C000089,AC0000089,6,Debit,Mastercard,Gold,2022-10-13,2028-11-22,Blocked,1,Fraud Suspected
CD0000090,C000090,AC0005090,1,Debit,Visa,Gold,2022-04-16,2029-05-17,Active,0,
CD0000091,C000091,AC0000091,4,Debit,Mastercard,Standard,2025-08-28,2028-12-12,Active,0,
CD0000092,C000092,AC0005092,5,Credit,Visa,Standard,2018-07-28,2029-03-25,Active,0,
CD0000093,C000093,AC0000093,10,Credit,Visa,Business,2020-01-05,2027-08-10,Active,0,
CD0000094,C000094,AC0005094,7,Debit,Visa,Business,2020-03-09,2026-02-07,Active,0,
CD0000095,C000095,AC0000095,9,Debit,Visa,Standard,2021-02-17,2026-01-03,Active,0,
CD0000096,C000096,AC0005096,4,Debit,Visa,Platinum,2022-09-23,2030-10-01,Active,0,
CD0000097,C000097,AC0000097,5,Debit,Amex,Business,2019-01-10,2026-10-11,Blocked,1,Lost/Stolen
CD0000098,C000098,AC0005098,5,Debit,Mastercard,Business,2019-02-06,2027-01-27,Expired,0,
CD0000099,C000099,AC0000099,9,Credit,Mastercard,Business,2019-04-02,2029-08-01,Active,0,
CD0000100,C000100,AC0005100,10,Debit,Mastercard,Gold,2019-11-17,2026-09-23,Blocked,1,Security Block
CD0000101,C000101,AC0000101,10,Credit,Visa,Platinum,2023-01-18,2028-10-20,Active,0,
CD0000102,C000102,AC0005102,8,Debit,Mastercard,Gold,2018-04-26,2029-05-02,Active,0,
CD0000103,C000103,AC0000103,6,Credit,Mastercard,Platinum,2025-03-25,2030-10-25,Active,0,
CD0000104,C000104,AC0005104,6,Debit,Mastercard,Business,2024-09-06,2030-01-12,Active,0,
CD0000105,C000105,AC0000105,10,Debit,Mastercard,Platinum,2018-10-25,2029-07-02,Active,0,
CD0000106,C000106,AC0005106,3,Debit,Mastercard,Gold,2019-03-18,2029-12-27,Active,0,
CD0000107,C000107,AC0000107,4,Debit,Visa,Business,2024-06-04,2030-02-21,Active,0,
CD0000108,C000108,AC0005108,9,Debit,Mastercard,Gold,2024-05-31,2026-10-21,Active,0,
CD0000109,C000109,AC0000109,4,Credit,Mastercard,Standard,2018-04-05,2028-06-23,Active,0,
CD0000110,C000110,AC0005110,3,Credit,Visa,Standard,2025-01-07,2026-08-21,Blocked,1,Security Block
CD0000111,C000111,AC0000111,6,Debit,Visa,Business,2018-10-27,2028-05-10,Blocked,1,Security Block
CD0000112,C000112,AC0005112,4,Debit,Visa,Gold,2019-09-10,2027-04-28,Active,0,
CD0000113,C000113,AC0000113,9,Debit,Visa,Business,2020-01-10,2028-01-28,Active,0,
CD0000114,C000114,AC0005114,10,Credit,Amex,Business,2023-04-25,2027-09-21,Active,0,
CD0000115,C000115,AC0000115,4,Debit,Visa,Standard,2018-08-23,2027-06-08,Active,0,
CD0000116,C000116,AC0005116,6,Debit,Amex,Business,2022-03-08,2026-03-12,Active,0,
CD0000117,C000117,AC0000117,10,Debit,Visa,Standard,2025-01-11,2027-02-05,Active,0,
CD0000118,C000118,AC0005118,8,Debit,Mastercard,Business,2019-02-25,2030-11-10,Active,0,
CD0000119,C000119,AC0000119,3,Credit,Mastercard,Standard,2023-04-24,2028-09-23,Active,0,
CD0000120,C000120,AC0005120,6,Debit,Visa,Gold,2025-02-19,2026-08-18,Active,0,
CD0000121,C000121,AC0000121,7,Debit,Amex,Platinum,2021-11-18,2027-06-19,Blocked,1,Excessive Attempts
CD0000122,C000122,AC0005122,7,Debit,Amex,Standard,2019-09-14,2026-11-15,Active,0,
CD0000123,C000123,AC0000123,1,Debit,Mastercard,Business,2022-07-28,2027-01-27,Active,0,
CD0000124,C000124,AC0005124,3,Debit,Visa,Gold,2020-04-30,2029-11-22,Active,0,
CD0000125,C000125,AC0000125,9,Credit,Visa,Standard,2018-09-22,2029-05-24,Active,0,
CD0000126,C000126,AC0005126,3,Debit,Visa,Gold,2025-07-01,2028-07-09,Active,0,
CD0000127,C000127,AC0000127,3,Debit,Mastercard,Business,2025-06-21,2026-07-01,Active,0,
CD0000128,C000128,AC0005128,4,Credit,Mastercard,Business,2021-07-31,2026-06-17,Blocked,1,Excessive Attempts
CD0000129,C000129,AC0000129,2,Credit,Visa,Platinum,2023-02-24,2029-09-17,Active,0,
CD0000130,C000130,AC0005130,2,Debit,Mastercard,Business,2023-04-30,2026-01-04,Active,0,
CD0000131,C000131,AC0000131,4,Debit,Mastercard,Business,2022-02-25,2028-03-08,Active,0,
CD0000132,C000132,AC0005132,9,Debit,Visa,Business,2021-03-30,2027-08-12,Expired,0,
CD0000133,C000133,AC0000133,1,Credit,Mastercard,Business,2019-01-01,2029-01-23,Active,0,
CD0000134,C000134,AC0005134,3,Debit,Mastercard,Gold,2020-05-17,2027-08-06,Active,0,
CD0000135,C000135,AC0000135,1,Debit,Mastercard,Gold,2018-05-03,2029-09-13,Active,0,
CD0000136,C000136,AC0005136,6,Credit,Visa,Platinum,2025-09-23,2029-12-03,Active,0,
CD0000137,C000137,AC0000137,3,Debit,Mastercard,Platinum,2022-06-06,2029-08-11,Active,0,
CD0000138,C000138,AC0005138,8,Debit,Mastercard,Gold,2019-11-20,2026-10-27,Active,0,
CD0000139,C000139,AC0000139,6,Debit,Visa,Business,2024-02-05,2026-11-06,Active,0,
CD0000140,C000140,AC0005140,8,Debit,Mastercard,Gold,2025-09-14,2030-07-21,Active,0,
CD0000141,C000141,AC0000141,7,Debit,Mastercard,Gold,2022-04-13,2029-09-17,Active,0,
CD0000142,C000142,AC0005142,5,Credit,Amex,Standard,2018-08-24,2030-02-01,Active,0,
CD0000143,C000143,AC0000143,9,Debit,Mastercard,Platinum,2018-06-29,2028-09-05,Active,0,
CD0000144,C000144,AC0005144,5,Debit,Visa,Standard,2019-05-29,2029-08-15,Active,0,
CD0000145,C000145,AC0000145,10,Credit,Mastercard,Gold,2019-11-18,2027-02-06,Active,0,
CD0000146,C000146,AC0005146,10,Debit,Visa,Standard,2018-09-22,2030-09-12,Blocked,1,Excessive Attempts
CD0000147,C000147,AC0000147,6,Debit,Mastercard,Platinum,2024-12-13,2029-08-26,Active,0,
CD0000148,C000148,AC0005148,7,Credit,Mastercard,Platinum,2018-10-25,2027-05-13,Active,0,
CD0000149,C000149,AC0000149,3,Credit,Visa,Platinum,2020-02-18,2027-08-17,Active,0,
CD0000150,C000150,AC0005150,9,Credit,Amex,Gold,2025-07-14,2029-12-02,Active,0,
CD0000151,C000151,AC0000151,7,Debit,Amex,Platinum,2021-05-07,2029-08-30,Blocked,1,Lost/Stolen
CD0000152,C000152,AC0005152,10,Debit,Mastercard,Business,2025-06-27,2026-03-06,Active,0,
CD0000153,C000153,AC0000153,3,Debit,Visa,Standard,2020-06-08,2029-01-30,Blocked,1,Security Block
CD0000154,C000154,AC0005154,8,Debit,Visa,Standard,2020-07-05,2029-12-29,Active,0,
CD0000155,C000155,AC0000155,5,Credit,Visa,Gold,2022-08-06,2029-08-31,Active,0,
CD0000156,C000156,AC0005156,2,Debit,Mastercard,Gold,2021-10-28,2027-03-08,Active,0,
CD0000157,C000157,AC0000157,2,Credit,Mastercard,Platinum,2021-10-23,2026-04-29,Active,0,
CD0000158,C000158,AC0005158,6,Debit,Mastercard,Gold,2022-06-22,2026-09-22,Active,0,
CD0000159,C000159,AC0000159,4,Credit,Mastercard,Standard,2021-12-19,2028-12-14,Active,0,
CD0000160,C000160,AC0005160,2,Debit,Amex,Platinum,2020-04-16,2029-07-14,Active,0,
CD0000161,C000161,AC0000161,5,Debit,Mastercard,Standard,2020-09-14,2027-09-02,Expired,0,
CD0000162,C000162,AC0005162,7,Debit,Mastercard,Gold,2018-10-04,2028-04-07,Blocked,1,Lost/Stolen
CD0000163,C000163,AC0000163,4,Credit,Visa,Standard,2019-04-08,2027-07-10,Active,0,
CD0000164,C000164,AC0005164,10,Debit,Mastercard,Platinum,2020-09-18,2028-07-11,Active,0,
CD0000165,C000165,AC0000165,8,Debit,Mastercard,Gold,2024-06-26,2028-03-23,Active,0,
CD0000166,C000166,AC0005166,6,Debit,Visa,Gold,2018-04-11,2028-01-03,Active,0,
CD0000167,C000167,AC0000167,10,Credit,Visa,Business,2019-06-19,2029-12-15,Active,0,
CD0000168,C000168,AC0005168,5,Credit,Visa,Platinum,2019-04-21,2026-08-20,Active,0,
CD0000169,C000169,AC0000169,2,Debit,Visa,Platinum,2022-07-10,2027-01-05,Active,0,
CD0000170,C000170,AC0005170,1,Debit,Visa,Standard,2025-10-17,2027-12-23,Active,0,
CD0000171,C000171,AC0000171,10,Credit,Mastercard,Gold,2018-02-05,2028-05-29,Active,0,
CD0000172,C000172,AC0005172,10,Debit,Mastercard,Gold,2023-08-14,2027-12-01,Active,0,
CD0000173,C000173,AC0000173,8,Credit,Visa,Business,2023-08-19,2030-11-16,Active,0,
CD0000174,C000174,AC0005174,2,Debit,Mastercard,Business,2025-02-28,2027-07-28,Active,0,
CD0000175,C000175,AC0000175,3,Debit,Mastercard,Business,2024-12-24,2029-10-26,Active,0,
CD0000176,C000176,AC0005176,1,Debit,Visa,Gold,2022-01-08,2029-08-29,Blocked,1,Excessive Attempts
CD0000177,C000177,AC0000177,1,Credit,Visa,Platinum,2025-12-17,2028-09-22,Expired,0,
CD0000178,C000178,AC0005178,3,Credit,Visa,Business,2024-08-22,2026-06-21,Active,0,
CD0000179,C000179,AC0000179,6,Credit,Visa,Standard,2022-03-11,2030-06-27,Active,0,
CD0000180,C000180,AC0005180,1,Credit,Mastercard,Business,2024-02-10,2028-01-01,Active,0,
CD0000181,C000181,AC0000181,10,Debit,Mastercard,Platinum,2020-10-21,2028-10-24,Active,0,
CD0000182,C000182,AC0005182,5,Debit,Mastercard,Business,2022-11-04,2026-01-21,Active,0,
CD0000183,C000183,AC0000183,3,Credit,Visa,Business,2020-11-07,2028-12-04,Active,0,
CD0000184,C000184,AC0005184,6,Credit,Visa,Standard,2021-10-29,2028-02-28,Blocked,1,Excessive Attempts
CD0000185,C000185,AC0000185,8,Debit,Amex,Platinum,2019-05-18,2026-10-03,Blocked,1,Security Block
CD0000186,C000186,AC0005186,4,Debit,Amex,Platinum,2024-06-24,2028-04-04,Active,0,
CD0000187,C000187,AC0000187,1,Debit,Visa,Platinum,2024-03-17,2027-02-02,Active,0,
CD0000188,C000188,AC0005188,1,Debit,Visa,Standard,2024-02-17,2027-11-17,Blocked,1,Lost/Stolen
CD0000189,C000189,AC0000189,9,Credit,Mastercard,Platinum,2018-03-23,2029-10-27,Active,0,
CD0000190,C000190,AC0005190,2,Credit,Visa,Standard,2021-11-16,2030-03-06,Active,0,
CD0000191,C000191,AC0000191,7,Debit,Visa,Standard,2022-08-09,2030-06-19,Active,0,
CD0000192,C000192,AC0005192,4,Debit,Amex,Business,2024-12-24,2027-05-24,Blocked,1,Fraud Suspected
CD0000193,C000193,AC0000193,8,Credit,Mastercard,Standard,2024-07-05,2030-07-29,Expired,0,
CD0000194,C000194,AC0005194,1,Debit,Visa,Standard,2024-05-10,2027-07-28,Active,0,
CD0000195,C000195,AC0000195,9,Debit,Visa,Standard,2025-09-14,2029-11-22,Active,0,
CD0000196,C000196,AC0005196,7,Debit,Mastercard,Standard,2020-12-06,2030-11-21,Active,0,
CD0000197,C000197,AC0000197,5,Debit,Visa,Standard,2019-03-03,2030-10-10,Active,0,
CD0000198,C000198,AC0005198,3,Credit,Mastercard,Standard,2022-03-10,2028-08-18,Active,0,
CD0000199,C000199,AC0000199,10,Credit,Mastercard,Standard,2025-01-24,2026-06-22,Active,0,
CD0000200,C000200,AC0005200,4,Debit,Mastercard,Business,2022-09-24,2030-07-20,Active,0,
CD0000201,C000201,AC0000201,5,Debit,Visa,Platinum,2022-08-21,2030-06-02,Active,0,
CD0000202,C000202,AC0005202,4,Debit,Visa,Platinum,2021-07-14,2030-11-12,Active,0,
CD0000203,C000203,AC0000203,3,Debit,Mastercard,Gold,2022-07-19,2029-07-05,Active,0,
CD0000204,C000204,AC0005204,5,Debit,Visa,Business,2022-07-28,2028-01-31,Active,0,
CD0000205,C000205,AC0000205,2,Debit,Mastercard,Standard,2022-10-13,2028-10-06,Active,0,
CD0000206,C000206,AC0005206,1,Debit,Mastercard,Business,2020-09-04,2030-09-20,Expired,0,
CD0000207,C000207,AC0000207,3,Debit,Amex,Platinum,2022-03-13,2028-08-23,Active,0,
CD0000208,C000208,AC0005208,2,Debit,Visa,Gold,2020-02-01,2027-01-16,Active,0,
CD0000209,C000209,AC0000209,5,Credit,Visa,Standard,2021-05-10,2027-10-03,Active,0,
CD0000210,C000210,AC0005210,9,Debit,Mastercard,Platinum,2021-03-21,2026-05-20,Active,0,
CD0000211,C000211,AC0000211,2,Debit,Mastercard,Platinum,2024-10-15,2027-08-03,Active,0,
CD0000212,C000212,AC0005212,1,Debit,Mastercard,Standard,2018-05-12,2026-12-27,Active,0,
CD0000213,C000213,AC0000213,2,Debit,Mastercard,Gold,2022-11-08,2027-11-19,Active,0,
CD0000214,C000214,AC0005214,6,Debit,Visa,Gold,2019-05-10,2029-04-13,Active,0,
CD0000215,C000215,AC0000215,3,Credit,Mastercard,Standard,2020-05-12,2028-06-30,Active,0,
CD0000216,C000216,AC0005216,5,Debit,Mastercard,Gold,2020-10-17,2027-06-14,Active,0,
CD0000217,C000217,AC0000217,1,Debit,Mastercard,Business,2024-05-23,2029-09-01,Active,0,
CD0000218,C000218,AC0005218,4,Debit,Mastercard,Business,2021-01-12,2027-04-15,Blocked,1,Security Block
CD0000219,C000219,AC0000219,5,Debit,Mastercard,Platinum,2023-04-04,2027-07-01,Active,0,
CD0000220,C000220,AC0005220,5,Debit,Mastercard,Business,2018-09-25,2026-12-01,Active,0,
CD0000221,C000221,AC0000221,6,Debit,Mastercard,Gold,2020-05-07,2026-03-13,Active,0,
CD0000222,C000222,AC0005222,8,Debit,Amex,Gold,2023-01-27,2027-06-20,Active,0,
CD0000223,C000223,AC0000223,5,Debit,Visa,Business,2020-02-09,2028-12-19,Active,0,
CD0000224,C000224,AC0005224,9,Debit,Visa,Standard,2024-08-24,2030-09-08,Blocked,1,Excessive Attempts
CD0000225,C000225,AC0000225,6,Debit,Mastercard,Gold,2023-12-03,2027-07-09,Blocked,1,Excessive Attempts
CD0000226,C000226,AC0005226,3,Debit,Visa,Standard,2024-09-06,2027-12-27,Active,0,
CD0000227,C000227,AC0000227,3,Debit,Visa,Standard,2024-12-15,2028-03-11,Active,0,
CD0000228,C000228,AC0005228,4,Credit,Visa,Business,2021-07-08,2030-11-03,Active,0,
CD0000229,C000229,AC0000229,6,Debit,Mastercard,Standard,2024-08-30,2027-01-19,Expired,0,
CD0000230,C000230,AC0005230,3,Credit,Mastercard,Business,2021-11-11,2026-01-07,Active,0,
CD0000231,C000231,AC0000231,10,Debit,Visa,Standard,2025-01-05,2026-01-16,Active,0,
CD0000232,C000232,AC0005232,5,Debit,Visa,Platinum,2025-11-27,2028-07-24,Blocked,1,Security Block
CD0000233,C000233,AC0000233,9,Debit,Mastercard,Gold,2023-11-08,2027-01-23,Active,0,
CD0000234,C000234,AC0005234,7,Debit,Visa,Standard,2023-12-19,2030-07-24,Active,0,
CD0000235,C000235,AC0000235,4,Debit,Amex,Business,2018-05-14,2030-04-15,Active,0,
CD0000236,C000236,AC0005236,3,Debit,Visa,Business,2022-08-12,2026-12-22,Active,0,
CD0000237,C000237,AC0000237,8,Credit,Mastercard,Gold,2022-11-26,2027-06-30,Active,0,
CD0000238,C000238,AC0005238,4,Debit,Visa,Business,2023-08-01,2029-02-04,Active,0,
CD0000239,C000239,AC0000239,3,Debit,Visa,Standard,2018-10-13,2029-01-07,Blocked,1,Security Block
CD0000240,C000240,AC0005240,10,Debit,Visa,Business,2018-12-07,2026-07-26,Active,0,
CD0000241,C000241,AC0000241,5,Credit,Visa,Platinum,2020-07-13,2028-04-03,Active,0,
CD0000242,C000242,AC0005242,1,Debit,Mastercard,Business,2021-05-15,2030-09-16,Active,0,
CD0000243,C000243,AC0000243,5,Credit,Mastercard,Standard,2020-05-20,2029-12-13,Active,0,
CD0000244,C000244,AC0005244,5,Credit,Amex,Standard,2022-02-25,2029-09-19,Active,0,
CD0000245,C000245,AC0000245,9,Debit,Mastercard,Business,2023-09-14,2030-06-23,Active,0,
CD0000246,C000246,AC0005246,8,Debit,Mastercard,Platinum,2021-07-15,2030-08-23,Blocked,1,Lost/Stolen
CD0000247,C000247,AC0000247,2,Debit,Mastercard,Standard,2022-10-01,2030-08-20,Active,0,
CD0000248,C000248,AC0005248,2,Debit,Visa,Standard,2018-09-25,2029-07-14,Active,0,
CD0000249,C000249,AC0000249,7,Credit,Mastercard,Standard,2019-07-22,2030-10-30,Active,0,
CD0000250,C000250,AC0005250,1,Credit,Visa,Standard,2020-10-23,2028-12-26,Active,0,
CD0000251,C000251,AC0000251,4,Credit,Visa,Standard,2024-05-31,2029-01-15,Active,0,
CD0000252,C000252,AC0005252,2,Debit,Mastercard,Platinum,2021-01-25,2027-10-12,Blocked,1,Fraud Suspected
CD0000253,C000253,AC0000253,1,Debit,Mastercard,Platinum,2021-10-23,2026-04-25,Active,0,
CD0000254,C000254,AC0005254,10,Debit,Visa,Business,2023-08-25,2027-10-07,Active,0,
CD0000255,C000255,AC0000255,1,Debit,Visa,Standard,2019-03-03,2029-09-06,Active,0,
CD0000256,C000256,AC0005256,1,Debit,Mastercard,Standard,2020-05-28,2029-07-20,Active,0,
CD0000257,C000257,AC0000257,10,Debit,Visa,Standard,2024-08-31,2029-10-10,Expired,0,
CD0000258,C000258,AC0005258,2,Debit,Visa,Platinum,2023-02-07,2030-07-02,Active,0,
CD0000259,C000259,AC0000259,9,Credit,Amex,Platinum,2019-05-28,2029-04-10,Active,0,
CD0000260,C000260,AC0005260,1,Debit,Mastercard,Business,2025-01-27,2026-07-25,Active,0,
CD0000261,C000261,AC0000261,2,Debit,Visa,Business,2018-05-09,2026-04-18,Active,0,
CD0000262,C000262,AC0005262,2,Credit,Visa,Gold,2019-03-28,2030-09-11,Active,0,
CD0000263,C000263,AC0000263,8,Debit,Mastercard,Platinum,2019-05-10,2028-07-06,Blocked,1,Security Block
CD0000264,C000264,AC0005264,7,Credit,Visa,Platinum,2022-01-13,2027-02-26,Blocked,1,Excessive Attempts
